,Team,Player,Pageviews
136,Chelsea,Robert Sánchez,313022.0
137,Chelsea,Marc Cucurella,1071259.0
138,Chelsea,Tosin Adarabioyo,583719.0
139,Chelsea,Benoît Badiashile,197730.0
140,Chelsea,Levi Colwill,378797.0
141,Chelsea,Pedro Neto,657210.0
142,Chelsea,Enzo Fernández ,882325.0
143,Chelsea,Mykhailo Mudryk,577672.0
144,Chelsea,Noni Madueke,1187194.0
145,Chelsea,Filip Jörgensen,252209.0
146,Chelsea,Marcus Bettinelli,129906.0
147,Chelsea,Nicolas Jackson,1115882.0
148,Chelsea,Christopher Nkunku,571242.0
149,Chelsea,Jadon Sancho ,1980208.0
150,Chelsea,Cole Palmer,3980647.0
151,Chelsea,Kiernan Dewsbury-Hall,467522.0
152,Chelsea,Trevoh Chalobah,350041.0
153,Chelsea,Reece James ,449119.0
154,Chelsea,Moisés Caicedo,439482.0
155,Chelsea,Malo Gusto,344710.0
156,Chelsea,Wesley Fofana,403701.0
157,Chelsea,Aaron Anselmino,110415.0
158,Chelsea,Tyrique George,95315.0
159,Chelsea,Josh Acheampong,94419.0
160,Chelsea,Omari Kellyman,179530.0
161,Chelsea,Marc Guiu,575773.0
162,Chelsea,Mathis Amougou,6376.0
163,Chelsea,Roméo Lavia,348702.0
164,Chelsea,Lucas Bergström,102533.0
165,Chelsea,David Datro Fofana,308120.0
166,Crystal Palace,Dean Henderson,360985.0
167,Crystal Palace,Joel Ward,69567.0
168,Crystal Palace,Tyrick Mitchell,89463.0
169,Crystal Palace,Maxence Lacroix,100691.0
170,Crystal Palace,Marc Guéhi ,1050468.0
171,Crystal Palace,Ismaïla Sarr,270608.0
172,Crystal Palace,Jefferson Lerma,139638.0
173,Crystal Palace,Eddie Nketiah,468311.0
174,Crystal Palace,Eberechi Eze,801880.0
175,Crystal Palace,Matheus França,71960.0
176,Crystal Palace,Daniel Muñoz,226783.0
177,Crystal Palace,Jean-Philippe Mateta,481519.0
178,Crystal Palace,Nathaniel Clyne,153588.0
179,Crystal Palace,Daichi Kamada,248268.0
180,Crystal Palace,Will Hughes,147678.0
181,Crystal Palace,Adam Wharton,623939.0
182,Crystal Palace,Romain Esse,29174.0
183,Crystal Palace,Ben Chilwell ,448049.0
184,Crystal Palace,Chris Richards,161646.0
185,Crystal Palace,Cheick Doucouré,57946.0
186,Crystal Palace,Matt Turner ,384580.0
187,Crystal Palace,Remi Matthews,29486.0
188,Crystal Palace,Chadi Riad,128163.0
189,Crystal Palace,Justin Devenny,68206.0
190,Crystal Palace,Caleb Kporha,8402.0
191,Everton,Jordan Pickford,1009629.0
192,Everton,Nathan Patterson,68373.0
193,Everton,Michael Keane,147668.0
194,Everton,James Tarkowski ,228541.0
195,Everton,Dwight McNeil,146072.0
196,Everton,Orel Mangala ,215049.0
197,Everton,Dominic Calvert-Lewin,293882.0
198,Everton,Iliman Ndiaye,306834.0
199,Everton,Jack Harrison ,167327.0
200,Everton,João Virgínia,41473.0
201,Everton,Beto,156300.0
