Team,Pageviews
Arsenal,4589814
Aston Villa,2258298
Bournemouth,10556
Brighton & Hove Albion,1402432
Burnley,912694
Chelsea,4921009
Crystal Palace,2132009
Everton,1340014
Fulham,1021576
Liverpool,6246178
Luton Town,842314
Manchester City,5021182
Manchester United,6625779
Nottingham Forest,1657640
Tottenham Hotspur,2958487
West Ham United,1626479
Wolverhampton Wanderers,1277508
