,Team,Player,Pageviews
135,Denver Nuggets,Julian Strawther,70514
136,Denver Nuggets,Hunter Tyson,45422
137,Denver Nuggets,Peyton Watson,131709
138,Denver Nuggets,Russell Westbrook,1529687
139,Detroit Pistons,Malik Beasley,207307
140,Detroit Pistons,Cade Cunningham,377350
141,Detroit Pistons,Jalen Duren,165916
142,Detroit Pistons,Simone Fontecchio,106579
143,Detroit Pistons,Tim Jr. Hardaway,322357
144,Detroit Pistons,Ron Jr. Harper,121037
145,Detroit Pistons,Tobias Harris,356689
146,Detroit Pistons,Ron Holland,219555
147,Detroit Pistons,Jaden Ivey,191353
148,Detroit Pistons,Daniss Jenkins,7354
149,Detroit Pistons,Bobi Klintman,88835
150,Detroit Pistons,Paul Reed,92866
151,Detroit Pistons,Marcus Sasser,60534
152,Detroit Pistons,Dennis Schröder,733735
153,Detroit Pistons,Tolu Smith,3133
154,Detroit Pistons,Isaiah Stewart,142934
155,Detroit Pistons,Ausar Thompson,178754
156,Detroit Pistons,Lindy III Waters,257801
157,Golden State Warriors,Jimmy Butler,1205216
158,Golden State Warriors,Stephen Curry,4915516
159,Golden State Warriors,Draymond Green,885688
160,Golden State Warriors,Buddy Hield,628306
161,Golden State Warriors,Trayce Jackson-Davis,267835
162,Golden State Warriors,Jonathan Kuminga,433191
163,Golden State Warriors,Kevon Looney,253437
164,Golden State Warriors,Moses Moody,107797
165,Golden State Warriors,Gary II Payton,208138
166,Golden State Warriors,Brandin Podziemski,424726
167,Golden State Warriors,Quinten Post,118066
168,Golden State Warriors,Jackson Rowe,4982
169,Golden State Warriors,Gui Santos,106515
170,Golden State Warriors,Pat Spencer,218111
171,Houston Rockets,Steven Adams,512197
172,Houston Rockets,Dillon Brooks,293911
173,Houston Rockets,N'Faly Dante,48032
174,Houston Rockets,Tari Eason,79999
175,Houston Rockets,Jalen Green,685326
176,Houston Rockets,Jeff Green,222699
177,Houston Rockets,Aaron Holiday,158667
178,Houston Rockets,Jock Landale,125776
179,Houston Rockets,Jack McVeigh,85332
180,Houston Rockets,Alperen Şengün,364111
181,Houston Rockets,Reed Sheppard,532888
182,Houston Rockets,Jabari Jr. Smith,197394
183,Houston Rockets,Jae'Sean Tate,35767
184,Houston Rockets,Amen Thompson,229112
185,Houston Rockets,Fred VanVleet,231695
186,Houston Rockets,Cam Whitmore,136311
187,Houston Rockets,Nate Williams,15900
188,Houston Rockets,Cody Zeller,122892
189,Indiana Pacers,Thomas Bryant,96215
190,Indiana Pacers,RayJ Dennis,13660
191,Indiana Pacers,Enrique Freeman,39798
192,Indiana Pacers,Johnny Furphy,124498
193,Indiana Pacers,Tyrese Haliburton,1257171
194,Indiana Pacers,Isaiah Jackson,62326
195,Indiana Pacers,Quenton Jackson,21407
196,Indiana Pacers,James Johnson,272652
197,Indiana Pacers,Bennedict Mathurin,190917
198,Indiana Pacers,T. J. McConnell,499212
199,Indiana Pacers,Andrew Nembhard,299905
200,Indiana Pacers,Aaron Nesmith,147642
201,Indiana Pacers,Jahlil Okafor,285522
202,Indiana Pacers,Ben Sheppard,74614
203,Indiana Pacers,Pascal Siakam,640882
204,Indiana Pacers,Obi Toppin,369970
205,Indiana Pacers,Myles Turner,241653
206,Indiana Pacers,Jarace Walker,94605
207,Los Angeles Clippers,Nicolas Batum,337217
208,Los Angeles Clippers,MarJon Beauchamp,100323
209,Los Angeles Clippers,Bogdan Bogdanović,521472
210,Los Angeles Clippers,Kobe Brown,43641
211,Los Angeles Clippers,Cam Christie,90400
212,Los Angeles Clippers,Amir Coffey,62404
213,Los Angeles Clippers,Kris Dunn,165819
214,Los Angeles Clippers,Drew Eubanks,84133
215,Los Angeles Clippers,Trentyn Flowers,28954
216,Los Angeles Clippers,James Harden,1298340
217,Los Angeles Clippers,Derrick Jr. Jones,278853
218,Los Angeles Clippers,Kai Jones,163856
219,Los Angeles Clippers,Kawhi Leonard,1241724
220,Los Angeles Clippers,Jordan Miller,46986
221,Los Angeles Clippers,Patty Mills,474240
222,Los Angeles Clippers,Norman Powell,159193
223,Los Angeles Clippers,Ben Simmons,1033978
224,Los Angeles Clippers,Ivica Zubac,207423
225,Los Angeles Lakers,Luka Dončić,3572995
226,Los Angeles Lakers,Dorian Finney-Smith,153777
227,Los Angeles Lakers,Jordan Goodwin,44009
228,Los Angeles Lakers,Rui Hachimura,637805
229,Los Angeles Lakers,Jaxson Hayes,191380
230,Los Angeles Lakers,Bronny James,3083850
231,Los Angeles Lakers,LeBron James,8373555
232,Los Angeles Lakers,Trey Jemison,43061
233,Los Angeles Lakers,Dalton Knecht,1080308
234,Los Angeles Lakers,Maxi Kleber,111573
235,Los Angeles Lakers,Christian Koloko,133270
236,Los Angeles Lakers,Alex Len,85358
237,Los Angeles Lakers,Shake Milton,144988
238,Los Angeles Lakers,Markieff Morris,219027
239,Los Angeles Lakers,Austin Reaves,653280
240,Los Angeles Lakers,Cam Reddish,177092
241,Los Angeles Lakers,Jarred Vanderbilt,141796
242,Los Angeles Lakers,Gabe Vincent,129741
243,Memphis Grizzlies,Santi Aldama,146514
244,Memphis Grizzlies,Marvin III Bagley,303019
245,Memphis Grizzlies,Desmond Bane,135968
246,Memphis Grizzlies,Brandon Clarke,65648
247,Memphis Grizzlies,Johnny Davis,80704
248,Memphis Grizzlies,Zach Edey,2839417
249,Memphis Grizzlies,Jay Huff,102009
250,Memphis Grizzlies,GG Jackson,314063
251,Memphis Grizzlies,Jaren Jr. Jackson,250531
252,Memphis Grizzlies,Yuki Kawamura,604296
253,Memphis Grizzlies,Luke Kennard,114254
254,Memphis Grizzlies,John Konchar,41685
255,Memphis Grizzlies,Ja Morant,961363
256,Memphis Grizzlies,Scotty Jr. Pippen,723977
257,Memphis Grizzlies,Zyon Pullin,5873
258,Memphis Grizzlies,Cam Spencer,244242
259,Memphis Grizzlies,Jaylen Wells,87997
260,Memphis Grizzlies,Vince Jr. Williams,54945
261,Miami Heat,Bam Adebayo,802836
262,Miami Heat,Kyle Anderson,401299
263,Miami Heat,Alec Burks,191543
264,Miami Heat,Josh Christopher,97898
265,Miami Heat,Tyler Herro,373894
266,Miami Heat,Haywood Highsmith,61165
267,Miami Heat,Jaime Jr. Jaquez,474778
268,Miami Heat,Keshad Johnson,37266
269,Miami Heat,Nikola Jović,325203
270,Miami Heat,Pelle Larsson,98496
271,Miami Heat,Kevin Love,617651
272,Miami Heat,Davion Mitchell,147664
273,Miami Heat,Duncan Robinson,121319
274,Miami Heat,Terry Rozier,310139
275,Miami Heat,Dru Smith,27592
276,Miami Heat,Isaiah Stevens,16115
277,Miami Heat,Kel'el Ware,138610
278,Miami Heat,Andrew Wiggins,648966
279,Milwaukee Bucks,Giannis Antetokounmpo,2382282
280,Milwaukee Bucks,Pat Connaughton,110713
281,Milwaukee Bucks,A. J. Green,98982
282,Milwaukee Bucks,Andre Jr. Jackson,99721
283,Milwaukee Bucks,Kyle Kuzma,407767
284,Milwaukee Bucks,Damian Lillard,996490
285,Milwaukee Bucks,Chris Livingston,55679
286,Milwaukee Bucks,Brook Lopez,489908
287,Milwaukee Bucks,Kevin Jr. Porter,624014
288,Milwaukee Bucks,Bobby Portis,198271
289,Milwaukee Bucks,Taurean Prince,223567
290,Milwaukee Bucks,Liam Robbins,23998
291,Milwaukee Bucks,Ryan Rollins,77891
292,Milwaukee Bucks,Jericho Sims,81321
293,Milwaukee Bucks,Tyler Smith,44000
294,Milwaukee Bucks,Gary Jr. Trent,145760
295,Milwaukee Bucks,Stanley Umude,20729
296,Minnesota Timberwolves,Nickeil Alexander-Walker,251618
297,Minnesota Timberwolves,Jaylen Clark,57173
298,Minnesota Timberwolves,Mike Jr. Conley,528894
299,Minnesota Timberwolves,Rob Dillingham,397918
300,Minnesota Timberwolves,Donte DiVincenzo,1338366
301,Minnesota Timberwolves,Anthony Edwards,4199531
302,Minnesota Timberwolves,Jesse Edwards,29251
303,Minnesota Timberwolves,Luka Garza,285364
304,Minnesota Timberwolves,Rudy Gobert,905900
305,Minnesota Timberwolves,Joe Ingles,197207
306,Minnesota Timberwolves,Jaden McDaniels,425242
307,Minnesota Timberwolves,Leonard Miller,59732
308,Minnesota Timberwolves,Josh Minott,39704
309,Minnesota Timberwolves,Tristen Newton,152894
310,Minnesota Timberwolves,Julius Randle,606738
311,Minnesota Timberwolves,Naz Reid,598083
312,Minnesota Timberwolves,Terrence Jr. Shannon,263911
313,New Orleans Pelicans,Jose Alvarado,215643
314,New Orleans Pelicans,Brandon Jr. Boston,122012
315,New Orleans Pelicans,Keion Jr. Brooks,15982
316,New Orleans Pelicans,Bruce Brown,223517
317,New Orleans Pelicans,Jamal Cain,25449
