,ID,Player,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG
1667,1668,Thomas Morstead,2024,255,0,1,1,100.0,18,0,0,118.7,1,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.7,0.0,14,1,0,0,0,0,0,0,0,0,0,44944,46.8,1,0,0,P,"ATL,MIA,NOR,NYJ",0,0,0,0,0,0,1,
1668,1669,Arron Mosby,2024,19,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.5,7,6,1,2,0,0,2,0,0,0,0,0,,0,0,0,LB,"CAR,GNB",0,0,0,0,0,0,0,
1669,1670,Emmanuel Moseley,2024,48,33,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,0.0,128,34,5,1,4,1,33,0,1,0,0,0,,0,95,0,CB,"DET,SFO",0,0,0,0,0,0,0,
1670,1671,Morgan Moses,2024,166,158,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,3,0,1,0,,0,0,0,T,"BAL,NYJ,WAS",0,0,0,0,0,0,0,
1671,1672,C.J. Mosley,2024,133,132,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,18,0.0,12.0,687,396,55,40,12,2,53,1,9,1,10,0,,0,239,0,LILB,"BAL,NYJ",0,0,0,0,0,0,0,
1672,1673,Riley Moss,2024,28,14,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,67,25,1,0,1,0,8,0,1,0,1,0,,0,0,0,CB,DEN,0,0,0,0,0,0,0,
1673,1674,Zack Moss,2024,61,17,0,0,,0,0,0,,0,,0,558,2318,4.2,16,38.0,127,98,710,7.2,5,11.6,0,,1,0,128,424.8,0.0,1,1,0,0,0,0,0,5,1,0,0,0,,0,3028,0,RB,"BUF,CIN,IND",0,0,0,0,0,0,0,
1674,1675,Raheem Mostert,2024,103,39,0,0,,0,0,0,,0,,0,759,3791,5.0,34,36.8,145,111,899,8.1,8,8.7,0,,0,0,252,703.0,0.0,24,3,0,0,0,0,0,13,3,0,0,0,,0,5895,1206,RB,"BAL,CHI,CLE,MIA,SFO",0,0,0,0,0,0,0,
1675,1676,Taylor Moton,2024,129,113,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,RT,CAR,0,0,0,0,0,0,0,
1676,1677,Darius Muasau,2024,15,7,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,26,29,3,1,1,0,1,0,0,0,0,0,,0,1,0,LB,NYG,0,0,0,0,0,0,0,
1677,1678,Al-Quadin Muhammad,2024,93,36,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,15.0,111,57,27,38,0,0,2,0,1,0,4,0,,0,0,0,DL,"CHI,DET,IND,NOR",0,0,0,0,0,0,0,
1678,1679,Israel Mukuamu,2024,50,3,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,29,13,0,2,3,0,4,0,1,0,0,0,,0,17,0,S,DAL,0,0,0,0,0,0,0,
1679,1680,Nick Mullens,2024,33,20,530,805,65.8,6429,34,31,88.3,48,5.0,3,47,20,0.4,0,0.6,0,0,0,,0,0.0,0,,0,0,0,329.5,0.0,0,0,0,0,0,0,0,10,2,0,0,0,,0,18,0,QB,"CLE,MIN,SFO",0,0,0,0,0,0,0,
1680,1681,Chad Muma,2024,50,7,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,1.5,48,46,3,3,0,0,3,0,0,0,0,0,,0,0,0,LB,JAX,0,0,0,0,0,0,0,
1681,1682,Johnny Mundt,2024,98,18,0,0,,0,0,0,,0,,0,0,0,,0,0.0,84,65,547,8.4,4,5.6,0,,0,0,24,78.7,0.0,6,2,0,0,0,0,0,0,0,0,1,0,,0,547,0,TE,"LAR,MIN",0,0,0,0,0,0,1,
1682,1683,Thayer Munford,2024,46,18,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,T,LVR,0,0,0,0,0,0,0,
1683,1684,Calvin Munson,2023,51,7,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.0,56,33,6,2,0,0,0,0,0,0,1,0,,0,0,0,LB,"MIA,NWE,NYG",0,0,0,0,0,0,0,
1684,1685,Larrell Murchison,2023,44,8,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.0,18,19,5,2,0,0,0,0,0,0,0,0,,0,0,0,DT,"LAR,TEN",0,0,0,0,0,0,0,
1685,1686,Byron Murphy,2024,87,79,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,12,0.0,3.0,289,78,19,4,14,1,61,1,6,1,3,0,,0,223,51,LCB,"ARI,MIN",0,0,0,0,0,0,0,
1686,1687,Byron Murphy,2024,14,9,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.5,12,24,2,1,0,0,0,0,0,0,0,0,,0,0,0,DT,SEA,0,0,0,0,0,0,0,
1687,1688,Caleb Murphy,2024,8,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,3,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,LB,"LAC,TEN",0,0,0,0,0,0,0,
1688,1689,Gabriel Murphy,2024,2,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,OLB,MIN,0,0,0,0,0,0,0,
1689,1690,Myles Murphy,2024,30,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,3.0,21,19,4,7,0,0,1,0,0,0,0,0,,0,0,0,DE,CIN,0,0,0,0,0,0,0,
1690,1691,Sean Murphy-Bunting,2024,82,65,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,1.0,211,86,12,1,11,1,34,0,2,0,8,0,,0,143,0,RCB,"ARI,TAM,TEN",0,0,0,0,0,0,1,
