,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled
14,Arizona Cardinals,23555.0,28,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,43,34,335,9.9,3,12.0,0,0.0,0,0,18,51.5,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0,335,0,TE,0,0,0,0,0,0,0,Elijah Higgins,99.24462359200069,156.02930957521252
15,Arizona Cardinals,170505.0,49,41,0,0,0.0,0,0,0,0.0,0,0.0,0,1,2,2.0,1,0.0,292,221,2236,10.1,6,45.6,0,0.0,0,0,48,271.8,0.0,7,1,0,0,0,0,0,2,3,1,0,0,0.0,0,2238,0,TE,0,0,0,0,0,0,0,Trey McBride,97.06380424946845,123.722172918002
16,Arizona Cardinals,28861.0,17,9,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,7,6,37,6.2,0,2.2,0,0.0,0,0,0,3.7,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,37,0,TE,0,0,0,0,0,0,0,Tip Reiman,99.21741806907657,155.58134792179578
17,Arizona Cardinals,7921.0,3,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TE,0,0,0,0,0,0,0,Travis Vokolek,99.52985879954406,160.80005282540785
18,Arizona Cardinals,20285.0,15,5,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Isaiah Adams,99.35903043620678,157.92650939713218
19,Arizona Cardinals,8765.0,5,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,McClendon Curtis,99.5184163241736,160.60603861756127
20,Arizona Cardinals,29668.0,65,40,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,-16,0,C,0,0,0,0,0,0,0,Hjalte Froholdt,99.15083410737729,154.49011502915488
21,Arizona Cardinals,7533.0,13,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Jon Gaines,99.53206369715245,160.8374637378901
22,Arizona Cardinals,56109.0,31,31,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Paris Johnson,98.84537037931769,149.57600774548018
23,Arizona Cardinals,13545.0,30,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,11,9,0,0,0,0,1,0,2,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Christian Holmes,99.43156806183146,159.14068761074128
24,Arizona Cardinals,18496.0,22,11,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,Nick Leverett,99.36288883954298,157.99087212239687
25,Arizona Cardinals,63984.0,65,65,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,LT,0,0,0,0,0,0,1,Jonah Williams,98.63623063476827,146.2970326586513
26,Arizona Cardinals,18469.0,88,72,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,12.0,123,100,35,38,0,0,10,0,4,0,1,0,0.0,0,0,0,RDT,0,0,0,0,0,0,0,Justin Jones,99.28398310061459,156.67955756228585
27,Arizona Cardinals,14315.0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,PJ Mustipher,99.44719669438966,159.4034442381777
28,Arizona Cardinals,15976.0,100,88,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,14.0,124,124,27,45,1,0,6,0,5,1,2,0,0.0,0,27,0,RDT,0,0,0,0,0,0,0,Bilal Nichols,99.29377193670177,156.84167412415596
29,Arizona Cardinals,72543.0,6,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,4,6,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Darius Robinson,98.6953023958341,147.21624425342262
30,Arizona Cardinals,6846.0,18,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.0,7,10,1,3,0,0,1,0,1,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Ben Stille,99.53104667123024,160.82020664285366
31,Arizona Cardinals,14581.0,31,18,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,8.0,38,51,9,11,0,0,1,0,1,0,1,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,Dante Stills,99.40968365066406,158.77344503810454
32,Arizona Cardinals,31719.0,51,29,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,11.5,77,51,19,25,1,0,6,1,1,0,2,0,0.0,0,-6,0,ROLB,0,0,0,0,0,0,0,Baron Browning,99.17469116407402,154.88026913077758
33,Arizona Cardinals,39650.0,67,56,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,10.5,136,87,25,17,2,1,13,0,1,0,3,0,0.0,0,31,0,DB,0,0,0,0,0,0,0,Zaven Collins,99.06426454351187,153.08216282064896
34,Arizona Cardinals,9399.0,17,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Milo Eifler,99.50711134638166,160.4145736568785
35,Arizona Cardinals,8231.0,10,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,5,4,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Vi Jones,99.5254933486485,160.72600772754603
36,Arizona Cardinals,35308.0,17,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.0,23,17,5,6,0,0,1,0,0,0,0,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,BJ Ojulari,99.17524720310377,154.88937359957436
37,Arizona Cardinals,11327.0,32,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,23,16,0,1,0,0,3,0,0,0,1,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Owen Pappoe,99.47741581385674,159.91266980020438
38,Arizona Cardinals,22953.0,14,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.5,6,4,2,4,0,0,1,0,0,0,1,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Xavier Thomas,99.33424106387616,157.51358517351537
