,ID,Player,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG
0,1,Patrick van Aanholt,2020-2021,213,17743,200,13,20,15,19,1,156,59,28.8,21.7,10,4595,77.8,96,17,550,3326,16997,233,127,54,133,74,55.6,173,134,113,53,7,29,222,247,7,43,48.3,21,0,103,52,24,1,690,0,0,,0,,DF,"Chelsea,Crystal Palace,Sunderland,Wigan Athletic",0,0,0,0,0,0,0,0,0,
1,2,Max Aarons,2024-2025,93,7444,82,11,0,4,0,0,29,6,20.7,18.9,0,2939,76.9,50,23,246,2617,16638,193,106,62,203,96,47.3,143,95,103,32,8,54,74,220,2,40,26.7,16,0,68,129,6,1,414,0,0,,0,,DF,"Bournemouth,Norwich City",0,0,0,0,0,0,0,0,0,
2,3,Rolando Aarons,2017-2018,18,652,4,14,2,1,2,0,2,2,0.0,19.9,0,29,65.9,0,1,3,37,380,7,4,6,6,4,66.7,4,4,3,1,0,0,1,0,0,1,25.0,2,0,11,3,1,0,9,0,0,,0,,MF,Newcastle Utd,0,0,0,0,0,0,0,0,0,
3,4,Brenden Aaronson,2022-2023,36,2372,28,8,1,3,1,0,41,9,22.0,18.4,2,592,74.3,46,4,86,686,3646,43,71,82,100,34,34.0,45,18,16,22,7,3,5,6,1,8,17.0,2,0,16,55,6,0,128,0,0,,0,,"MF,FW",Leeds United,0,0,0,0,0,0,0,0,0,
4,5,George Abbott,2022-2023,1,1,0,1,0,0,0,0,0,0,,,0,1,100.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,MF,Tottenham,0,0,0,0,0,0,0,0,0,
5,6,Tammy Abraham,2021-2022,89,5036,52,37,26,5,26,0,162,61,37.7,11.8,0,630,66.8,42,3,65,792,3992,62,157,100,100,49,49.0,25,17,6,15,4,3,12,55,0,166,45.5,2,0,56,63,36,1,118,0,0,,0,,FW,"Chelsea,Swansea City",0,0,0,0,0,0,0,1,0,
6,7,Joshua Acheampong,2024-2025,3,166,2,1,0,0,0,0,2,0,0.0,8.9,0,93,82.3,0,0,7,97,668,0,2,0,2,1,50.0,2,1,2,0,0,3,1,2,0,1,12.5,0,0,0,1,0,0,8,0,0,,0,,DF,Chelsea,0,0,0,0,0,0,0,0,0,
7,8,Charlie Adam,2017-2018,207,13212,152,55,34,25,23,11,49,124,26.5,31.5,3,168,58.9,6,4,30,206,960,6,7,5,12,12,100.0,9,22,2,5,2,0,33,11,2,7,63.6,52,4,327,34,0,0,40,0,0,,0,,MF,"Blackpool,Liverpool,Stoke City",0,0,0,0,0,0,0,0,0,
8,9,Che Adams,2022-2023,124,7809,88,36,25,13,25,0,187,78,41.7,13.9,0,1227,66.1,100,3,140,1548,7045,88,253,127,144,83,57.6,61,39,17,33,11,9,18,69,1,216,35.0,2,0,114,138,50,0,258,0,0,,0,,FW,Southampton,0,0,0,0,0,0,0,0,0,
9,10,Tyler Adams,2024-2025,40,3053,33,7,0,3,0,0,9,1,11.1,21.7,0,1461,82.9,33,0,176,1091,4555,28,42,25,30,9,30.0,134,78,59,61,14,11,62,54,0,40,61.5,10,1,55,32,1,0,245,0,0,,0,,MF,"Bournemouth,Leeds United",0,0,0,0,0,0,0,0,0,
10,11,Tosin Adarabioyo,2024-2025,89,7388,82,7,4,0,4,0,54,16,29.6,14.6,1,4347,85.4,14,0,252,3433,16613,32,21,13,30,23,76.7,100,52,77,20,3,51,96,446,3,216,67.5,9,0,47,18,6,1,320,0,0,,0,,DF,"Chelsea,Fulham,Manchester City",0,0,0,0,0,0,0,0,0,
11,12,Elijah Adebayo,2023-2024,27,1419,16,11,10,0,10,0,31,14,45.2,9.6,0,144,70.6,14,0,23,265,1516,16,62,34,67,18,26.9,4,1,1,0,3,2,6,25,0,43,50.0,1,0,27,16,13,0,34,0,0,,0,,FW,Luton Town,0,0,0,0,0,0,0,0,0,
12,13,Simon Adingra,2024-2025,46,2775,31,15,8,2,8,0,65,26,40.0,15.7,0,778,75.4,40,13,58,963,6336,131,73,34,152,62,40.8,58,26,29,16,13,1,25,25,0,11,45.8,3,0,38,19,17,0,148,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,
13,14,Adrián,2023-2024,139,12367,137,2,0,0,0,0,0,0,,,0,582,59.3,0,0,0,529,3377,0,0,0,0,0,,3,2,3,0,0,0,0,26,5,7,87.5,10,2,1,7,0,0,27,186,455,71.4,38,27.7,GK,"Liverpool,West Ham",0,0,0,0,0,0,0,0,1,
14,15,Ibrahim Afellay,2017-2018,49,2652,28,21,2,2,2,0,6,9,16.7,,0,72,87.8,0,0,4,61,214,0,1,3,1,1,100.0,3,5,0,3,0,0,6,1,0,0,,4,1,23,7,2,0,15,0,0,,0,,"FW,MF",Stoke City,0,0,0,0,0,0,0,1,0,
15,16,Benik Afobe,2017-2018,63,3002,31,32,10,3,10,0,47,26,44.7,8.6,0,113,73.4,2,0,9,138,820,12,28,5,9,7,77.8,4,12,1,2,1,0,6,6,0,22,36.7,1,0,46,26,18,0,17,0,0,,0,,FW,Bournemouth,0,0,0,0,0,0,0,0,0,
16,17,Emmanuel Agbadou,2024-2025,3,270,3,0,0,0,0,0,1,0,0.0,29.4,0,128,75.3,0,0,5,112,594,1,2,1,6,5,83.3,13,8,9,4,0,1,3,16,0,7,63.6,1,0,0,1,1,0,23,0,0,,0,,DF,Wolves,0,0,0,0,0,0,0,0,0,
17,18,Asher Agbinone,2024-2025,2,6,0,2,0,0,0,0,1,0,0.0,26.3,0,2,66.7,1,0,0,5,53,2,0,1,2,0,0.0,2,1,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,,MF,Crystal Palace,0,0,0,0,0,0,0,0,0,
18,19,Nayef Aguerd,2023-2024,39,3452,38,1,3,0,3,0,26,5,19.2,10.4,0,1542,79.5,10,0,93,1384,6338,12,18,9,11,7,63.6,53,32,37,15,1,48,35,164,4,80,55.9,7,1,18,14,2,0,207,0,0,,0,,DF,West Ham,0,0,0,0,0,0,0,0,0,
19,20,Sergio Agüero,2020-2021,275,19771,235,40,184,48,157,27,435,418,38.4,14.3,4,1616,81.5,99,1,171,1994,11564,217,179,138,210,133,63.3,37,34,3,22,12,3,24,8,0,32,36.0,24,1,166,92,72,0,178,0,0,,0,,FW,Manchester City,0,1,0,0,0,0,0,0,5,
20,21,Brandon Aguilera,2023-2024,1,5,0,1,0,0,0,0,0,0,,,0,4,50.0,0,0,0,4,16,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,,0,,FW,Nott'ham Forest,0,0,0,0,0,0,0,0,0,
21,22,Naouirou Ahamada,2024-2025,28,443,0,28,0,0,0,0,12,2,16.7,19.2,0,187,80.3,2,0,27,182,1197,20,13,12,15,8,53.3,16,11,8,6,2,0,2,4,0,3,42.9,5,1,11,6,3,0,38,0,0,,0,,"MF,FW",Crystal Palace,0,0,0,0,0,0,0,0,0,
22,23,Anel Ahmedhodžić,2023-2024,31,2649,29,2,2,0,2,0,19,5,26.3,11.9,0,749,75.4,7,1,43,606,3527,15,14,11,21,11,52.4,64,36,48,14,2,26,34,137,2,52,59.1,11,1,34,13,2,0,106,0,0,,0,,DF,Sheffield Utd,0,0,0,0,0,0,0,0,0,
23,24,Ola Aina,2024-2025,79,6373,74,5,5,3,5,0,33,8,24.2,24.9,1,2631,75.3,34,22,253,2075,12022,159,77,35,123,69,56.1,129,85,85,31,13,16,91,211,4,56,47.5,8,0,64,76,6,0,373,0,0,,0,,"DF,MF","Chelsea,Fulham,Nott'ham Forest",0,0,0,0,0,0,0,0,0,
24,25,Rayan Aït-Nouri,2024-2025,120,8518,96,24,8,9,8,0,81,28,34.6,16.7,0,3767,81.4,82,29,318,3158,17677,256,175,140,368,191,51.9,250,147,167,68,15,13,76,176,2,69,41.6,22,1,91,125,17,1,508,0,0,,0,,DF,Wolves,0,0,0,0,0,0,0,0,0,
25,26,Semi Ajayi,2020-2021,33,2780,31,2,2,0,2,0,13,4,30.8,9.8,0,719,72.0,7,0,73,536,3098,13,24,5,18,10,55.6,40,14,34,6,0,32,42,122,2,74,57.8,3,1,28,4,1,0,161,0,0,,0,,DF,"Arsenal,West Brom",0,0,0,0,0,0,0,0,0,
26,27,Kristoffer Ajer,2024-2025,71,5307,62,9,3,4,3,0,23,7,30.4,9.2,0,1761,73.8,24,9,201,1387,7839,77,54,27,48,30,62.5,87,54,58,21,8,28,64,198,1,140,64.2,13,0,50,38,1,0,226,0,0,,0,,DF,Brentford,0,0,0,0,0,0,0,0,0,
27,28,Albian Ajeti,2019-2020,9,139,0,9,0,0,0,0,3,0,0.0,15.7,0,12,80.0,2,0,0,17,61,0,4,2,2,0,0.0,1,0,0,0,1,0,0,0,0,1,9.1,0,0,6,0,2,0,2,0,0,,0,,FW,West Ham,0,0,0,0,0,0,0,0,0,
28,29,Manuel Akanji,2024-2025,78,6415,71,7,2,1,2,0,39,8,20.5,16.7,0,5421,93.4,29,5,389,4173,21935,106,30,17,18,10,55.6,93,63,39,40,14,29,45,155,6,71,44.1,9,1,56,40,0,0,361,0,0,,0,,"DF,MF",Manchester City,0,0,0,0,0,0,0,1,2,
29,30,Nathan Aké,2024-2025,234,18335,206,28,18,7,18,0,115,42,32.2,10.4,0,9213,88.9,45,5,679,7296,36505,130,71,26,38,25,65.8,237,154,146,78,13,108,181,807,3,406,57.0,21,1,138,94,8,0,810,0,0,,0,,"DF,MF","Bournemouth,Chelsea,Manchester City,Watford",0,0,0,0,0,0,0,1,4,
30,31,Marc Albrighton,2022-2023,310,19096,207,103,20,44,20,0,97,81,34.0,20.4,1,2621,62.2,148,63,340,2927,15770,209,152,109,291,140,48.1,179,156,74,82,23,17,130,124,1,44,32.8,37,1,187,111,14,0,596,0,0,,0,,"DF,FW","Aston Villa,Leicester City",0,0,0,0,0,0,0,0,1,
31,32,Thiago Alcántara,2023-2024,68,4648,51,17,2,4,2,0,57,12,21.1,21.7,1,3838,88.2,76,2,537,3018,14536,64,52,53,110,74,67.3,152,89,54,75,23,5,77,40,4,76,53.1,8,0,85,63,0,0,390,0,0,,0,,MF,Liverpool,0,0,0,0,0,0,0,2,0,
32,33,Carlos Alcaraz,2024-2025,19,1039,13,6,4,2,4,0,25,11,44.0,19.6,0,235,77.6,6,1,34,270,1404,24,30,24,30,13,43.3,10,5,2,7,1,5,2,11,0,8,22.9,3,0,17,17,2,0,55,0,0,,0,,"MF,FW",Southampton,0,0,0,0,0,0,0,0,0,
33,34,Toby Alderweireld,2020-2021,200,17578,198,2,9,4,9,0,83,43,26.5,13.9,0,5719,84.4,29,5,425,4906,22261,51,21,7,14,11,78.6,131,122,78,45,8,87,95,523,2,186,50.3,22,0,83,14,2,3,521,0,0,,0,,DF,"Southampton,Tottenham",0,0,0,0,1,0,0,0,0,
34,35,Rúnar Alex Rúnarsson,2020-2021,1,16,0,1,0,0,0,0,0,0,,,0,7,63.6,0,0,0,5,26,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,100.0,0,0.0,GK,Arsenal,0,0,0,0,0,0,0,0,0,
35,36,Trent Alexander-Arnold,2024-2025,247,20004,227,20,16,64,16,0,308,76,24.7,24.1,61,13909,73.7,504,180,1611,11636,49528,487,256,120,329,173,52.6,393,257,227,117,49,40,299,412,14,82,37.6,30,0,122,56,34,0,1529,0,0,,0,,DF,Liverpool,0,0,0,0,3,0,0,1,1,
36,37,Ezgjan Alioski,2020-2021,36,2461,29,7,2,3,2,0,25,8,32.0,19.0,0,1321,79.1,28,12,132,1007,5508,77,37,15,26,11,42.3,74,31,38,28,8,2,23,50,2,39,47.0,7,0,39,44,6,0,146,0,0,,0,,"DF,MF",Leeds United,0,0,0,0,0,0,0,0,0,
37,38,Alisson,2024-2025,215,19271,215,0,1,3,1,0,1,1,100.0,8.4,0,6694,85.8,5,0,11,5147,22027,1,6,1,8,8,100.0,8,4,8,0,0,0,4,118,21,66,91.7,4,1,4,21,0,1,417,186,505,74.1,91,42.3,GK,Liverpool,0,0,2,0,1,0,0,1,1,
38,39,Allan,2022-2023,52,4234,48,4,0,2,0,0,14,5,35.7,23.5,0,1686,82.2,32,4,222,1371,7338,56,59,42,80,52,65.0,154,89,67,76,11,21,42,64,2,15,36.6,13,1,67,52,0,0,378,0,0,,0,,MF,Everton,0,0,0,0,0,0,0,0,0,
39,40,Joe Allen,2017-2018,199,14532,161,38,16,11,16,0,64,49,32.8,18.4,0,1114,79.4,31,4,165,950,4752,37,54,68,55,44,80.0,96,114,41,43,12,9,121,68,1,36,37.9,29,1,188,108,0,0,244,0,0,,0,,MF,"Liverpool,Stoke City,Swansea City",0,0,0,0,0,0,0,0,0,
40,41,Dele Alli,2022-2023,194,13789,156,38,51,34,48,3,261,133,40.2,15.5,0,3031,77.0,131,5,419,3240,17869,234,241,201,292,130,44.5,152,126,53,68,31,22,87,88,3,92,40.0,28,0,208,244,30,0,524,0,0,,0,,"FW,MF","Everton,Tottenham",0,0,0,0,2,0,0,0,0,
41,42,Miguel Almirón,2024-2025,186,12510,144,42,23,6,23,0,256,80,31.3,17.3,1,3512,79.8,144,26,446,3910,28065,423,275,156,352,176,50.0,261,165,114,106,41,11,104,93,1,35,28.7,14,0,110,198,64,0,749,0,0,,0,,MF,Newcastle Utd,0,0,0,0,0,0,0,0,0,
42,43,Marcos Alonso,2021-2022,179,14993,169,10,26,16,26,0,251,81,29.1,17.8,32,5746,79.7,150,48,453,4549,23865,317,163,96,137,70,51.1,206,165,120,62,24,15,204,292,1,230,56.4,37,1,163,143,20,0,699,0,0,,0,,"DF,MF","Bolton,Chelsea,Sunderland",0,0,0,0,1,0,0,1,1,
43,44,Edson Álvarez,2024-2025,50,3606,42,8,1,2,1,0,28,4,14.3,23.3,0,1612,85.8,22,4,146,1350,7647,34,57,41,66,38,57.6,114,58,65,36,13,27,55,110,1,48,50.0,19,1,62,30,3,0,233,0,0,,0,,MF,West Ham,0,0,0,0,0,0,0,0,0,
44,45,Julián Álvarez,2023-2024,67,4112,44,23,20,8,17,3,142,57,40.1,17.2,13,1406,79.8,85,6,140,1320,6646,102,84,60,80,41,51.3,50,29,8,21,21,0,4,20,1,12,20.3,2,0,44,27,5,0,142,0,0,,0,,"FW,MF",Manchester City,0,0,0,0,0,1,0,0,2,
45,46,Will Alves,2024-2025,1,1,0,1,0,0,0,0,0,0,,,0,1,100.0,0,0,0,1,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,FW,Leicester City,0,0,0,0,0,0,0,0,0,
46,47,Steven Alzate,2023-2024,43,2488,27,16,1,0,1,0,21,6,28.6,18.3,0,1163,86.6,27,4,126,927,5084,53,46,40,71,49,69.0,60,31,34,20,6,5,32,33,0,20,35.7,3,0,43,28,4,0,160,0,0,,0,,"MF,DF",Brighton,0,0,0,0,0,0,0,0,0,
47,48,Ibrahim Amadou,2019-2020,11,759,8,3,0,0,0,0,6,1,16.7,17.6,0,324,86.6,1,0,13,290,1128,4,1,3,2,2,100.0,18,11,9,8,1,5,16,55,1,16,57.1,1,0,8,2,0,0,39,0,0,,0,,"DF,MF",Norwich City,0,0,0,0,0,0,0,0,0,
48,49,Daniel Amartey,2022-2023,106,7360,80,26,2,1,2,0,29,11,34.5,18.8,0,3424,87.8,12,0,200,2663,12033,54,26,16,24,15,62.5,82,73,56,23,3,50,92,239,6,110,53.7,14,2,63,29,2,0,401,0,0,,0,,"DF,MF",Leicester City,0,0,0,0,0,0,0,0,1,
49,50,Zeki Amdouni,2023-2024,34,1953,27,7,5,1,4,1,48,21,43.8,17.8,0,396,79.2,16,0,49,468,3229,63,67,32,88,29,33.0,27,18,1,15,11,10,9,10,0,15,21.1,2,0,22,39,2,0,79,0,0,,0,,FW,Burnley,0,0,0,0,0,0,0,0,0,
50,51,Samuel Amo-Ameyaw,2024-2025,3,32,0,3,0,0,0,0,1,0,0.0,20.7,0,13,86.7,2,1,1,15,168,3,0,2,8,3,37.5,1,0,0,1,0,0,0,0,0,0,0.0,1,0,1,2,0,0,2,0,0,,0,,MF,Southampton,0,0,0,0,0,0,0,0,0,
51,52,Luke Amos,2018-2019,1,3,0,1,0,0,0,0,0,0,,,0,1,33.3,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,,0,,MF,Tottenham,0,0,0,0,0,0,0,0,0,
52,53,Ethan Ampadu,2022-2023,26,2100,23,3,0,0,0,0,7,2,28.6,19.3,0,889,80.4,11,2,101,694,4125,25,16,5,15,13,86.7,58,37,31,25,2,19,49,89,3,53,63.1,3,0,25,25,1,1,114,0,0,,0,,DF,"Chelsea,Sheffield Utd",0,0,0,0,0,0,0,0,0,
53,54,Nordin Amrabat,2017-2018,44,2795,32,12,0,3,0,0,30,9,20.0,12.6,0,44,56.4,3,2,7,61,284,3,4,7,4,2,50.0,6,38,1,5,0,0,27,2,0,3,33.3,7,1,68,38,4,0,8,0,0,,0,,"FW,MF",Watford,0,0,0,0,0,0,0,0,0,
54,55,Sofyan Amrabat,2023-2024,21,938,10,11,0,0,0,0,3,0,0.0,26.1,0,578,87.0,6,1,66,489,2362,6,9,11,10,6,60.0,27,16,17,8,2,7,8,19,2,5,45.5,6,0,24,10,0,0,60,0,0,,0,,"MF,DF",Manchester Utd,0,0,0,0,0,0,0,0,0,
55,56,Joachim Andersen,2024-2025,150,13166,147,3,4,7,4,0,74,26,35.1,14.7,4,7708,80.2,61,13,507,6325,32752,78,39,22,55,38,69.1,175,110,114,55,6,71,163,745,6,364,65.2,29,2,142,73,5,3,768,0,0,,0,,DF,"Crystal Palace,Fulham",0,0,0,0,0,0,0,0,0,
56,57,Elliot Anderson,2024-2025,66,2912,31,35,1,8,1,0,54,13,24.1,17.2,0,1090,78.3,51,2,154,1026,5994,92,74,53,124,57,46.0,89,59,50,27,12,11,31,66,2,53,64.6,8,0,52,60,4,0,207,0,0,,0,,MF,"Newcastle Utd,Nott'ham Forest",0,0,0,0,0,0,0,0,0,
57,58,Felipe Anderson,2020-2021,63,4543,56,7,10,8,10,0,81,32,39.5,18.3,5,2055,74.1,89,16,292,2167,16788,309,145,84,248,139,56.0,136,82,53,66,17,1,63,29,1,15,25.0,4,0,44,76,7,0,339,0,0,,0,,"MF,FW",West Ham,0,0,0,0,0,0,0,0,0,
58,59,Florin Andone,2021-2022,26,954,9,17,4,0,4,0,20,9,45.0,12.1,0,120,65.9,3,1,4,229,1364,15,53,34,44,11,25.0,11,3,3,5,3,2,3,13,0,40,35.1,5,1,30,23,4,0,48,0,0,,0,,FW,Brighton,0,0,0,0,0,0,0,0,0,
59,60,André,2024-2025,18,1222,16,2,0,0,0,0,2,1,50.0,24.8,0,551,92.1,8,0,47,383,1614,5,13,11,14,6,42.9,50,34,24,21,5,6,16,23,1,1,14.3,3,0,18,19,0,0,82,0,0,,0,,MF,Wolves,0,0,0,0,0,0,0,1,0,
60,61,Angeliño,2019-2020,6,423,4,2,0,0,0,0,5,0,0.0,19.8,0,333,77.6,9,9,41,333,1405,21,6,3,5,4,80.0,5,2,3,1,1,0,9,15,0,6,46.2,1,0,2,2,0,0,29,0,0,,0,,DF,Manchester City,0,0,0,0,0,0,0,0,0,
61,62,Faustino Anjorin,2020-2021,1,20,0,1,0,0,0,0,1,0,0.0,31.8,0,7,100.0,0,0,1,8,57,1,1,1,2,1,50.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,,0,,FW,Chelsea,0,0,0,0,0,0,0,0,0,
62,63,Jaidon Anthony,2024-2025,33,1409,13,20,3,1,3,0,24,14,58.3,19.7,2,417,73.0,12,7,57,459,2609,33,30,29,53,17,32.1,33,18,16,9,8,3,11,22,0,11,42.3,3,0,13,14,7,0,91,0,0,,0,,"MF,FW",Bournemouth,0,0,0,0,0,0,0,0,0,
63,64,Michail Antonio,2024-2025,268,19021,220,48,68,33,67,1,476,193,36.3,14.7,0,2355,61.5,166,43,286,3691,24755,449,605,379,630,332,52.7,112,98,36,45,31,17,87,82,1,460,42.3,35,3,293,329,99,0,508,0,0,,0,,"FW,MF",West Ham,0,0,0,0,0,0,0,0,0,
64,65,Antony,2024-2025,62,3267,38,24,5,3,5,0,121,42,34.7,19.1,0,1175,79.2,53,7,144,1372,8823,153,68,32,159,60,37.7,68,33,28,30,10,1,25,15,0,7,14.6,10,0,36,62,4,0,206,0,0,,0,,"DF,MF",Manchester Utd,0,0,0,0,0,0,0,0,0,
65,66,Julian Araujo,2024-2025,8,355,5,3,0,0,0,0,0,0,,,0,131,78.9,0,0,14,84,290,2,4,2,0,0,,7,3,3,4,0,0,4,13,0,2,25.0,1,0,4,1,0,0,24,0,0,,0,,DF,Bournemouth,0,0,0,0,0,0,0,0,0,
66,67,Oliver Arblaster,2023-2024,12,943,11,1,0,0,0,0,1,1,100.0,16.6,0,351,79.6,11,0,43,281,1521,14,13,8,26,17,65.4,23,14,11,8,4,7,16,9,0,9,37.5,2,0,10,12,0,1,52,0,0,,0,,MF,Sheffield Utd,0,0,0,0,0,0,0,0,0,
67,68,Cameron Archer,2024-2025,60,2961,31,29,6,1,6,0,65,15,23.1,15.3,0,422,80.2,25,2,26,526,3180,52,92,68,88,42,47.7,26,18,10,8,8,4,3,17,0,16,20.5,2,0,30,31,19,0,91,0,0,,0,,"FW,MF","Aston Villa,Sheffield Utd,Southampton",0,0,0,0,0,0,0,0,0,
68,69,Alphonse Areola,2024-2025,85,7338,81,4,0,0,0,0,0,0,,,0,1728,70.2,0,0,1,1407,7580,0,1,0,1,1,100.0,3,2,3,0,0,0,2,37,4,25,92.6,3,0,3,8,0,2,69,133,297,71.8,16,19.8,GK,"Fulham,West Ham",0,0,0,0,0,1,0,0,0,
69,70,Scott Arfield,2017-2018,86,6637,74,12,5,4,5,0,62,24,22.6,18.4,0,247,67.3,7,1,32,257,1287,16,23,15,26,14,53.8,36,53,20,13,3,1,45,24,0,11,26.8,12,0,113,32,4,0,83,0,0,,0,,MF,Burnley,0,0,0,0,0,0,0,0,0,
70,71,Joe Aribo,2024-2025,43,2599,27,16,4,0,4,0,26,14,53.8,12.3,0,887,82.8,23,1,92,776,3946,48,54,35,77,30,39.0,57,36,22,26,9,8,21,31,2,46,44.7,3,0,25,34,1,0,156,0,0,,0,,"MF,FW",Southampton,0,0,0,0,0,0,0,0,0,
71,72,Adam Armstrong,2024-2025,88,4241,47,41,6,6,6,0,97,35,34.0,16.7,0,680,74.4,33,4,67,777,5544,103,80,53,99,35,35.4,36,16,10,14,12,5,11,20,0,23,30.3,8,0,49,20,13,0,113,0,0,,0,,"FW,MF","Newcastle Utd,Southampton",0,0,0,0,0,0,0,0,0,
72,73,Harrison Armstrong,2024-2025,3,48,0,3,0,0,0,0,1,0,0.0,5.8,0,7,46.7,1,0,1,15,110,1,2,3,1,1,100.0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,0,0,2,0,0,,0,,MF,Everton,0,0,0,0,0,0,0,0,0,
73,74,Stuart Armstrong,2022-2023,149,8792,96,53,16,11,16,0,194,58,29.9,20.9,0,3098,77.8,125,23,459,3045,20859,318,240,173,295,166,56.3,179,120,82,68,29,6,65,78,3,47,35.1,16,0,107,116,13,0,537,0,0,,0,,MF,Southampton,0,0,0,0,0,0,0,0,0,
74,75,Marko Arnautović,2018-2019,184,13989,164,20,43,33,38,5,192,130,43.2,15.9,3,995,69.9,71,6,95,1142,6917,114,105,74,116,76,65.5,30,48,13,11,6,5,45,41,0,44,41.1,24,2,215,72,97,0,151,0,0,,0,,"FW,MF","Stoke City,West Ham",0,0,0,0,0,0,0,0,0,
75,76,Kepa Arrizabalaga,2024-2025,125,11160,124,1,0,0,0,0,0,0,,,0,3462,82.5,1,0,2,2540,11564,0,5,1,2,2,100.0,5,4,5,0,0,0,2,38,11,27,93.1,6,0,0,21,0,0,173,148,308,68.6,40,32.3,GK,"Bournemouth,Chelsea",0,0,0,0,0,0,0,2,0,
76,77,Harry Arter,2018-2019,94,7575,89,5,3,4,3,0,88,23,18.2,24.4,0,1052,82.7,13,6,141,658,3689,27,28,11,15,7,46.7,81,119,37,33,11,10,80,27,2,12,42.9,33,2,94,75,2,0,194,0,0,,0,,MF,"Bournemouth,Cardiff City",0,0,0,0,0,0,0,0,0,
77,78,Harrison Ashby,2022-2023,1,7,0,1,0,0,0,0,0,0,,,0,7,100.0,0,0,0,5,35,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,,0,,DF,"Newcastle Utd,West Ham",0,0,0,0,0,0,0,0,0,
78,79,Lorenz Assignon,2023-2024,15,1234,15,0,1,2,1,0,9,4,44.4,22.1,0,352,72.6,13,5,34,283,1862,38,27,13,32,13,40.6,35,17,18,13,4,7,19,43,1,13,43.3,5,1,33,16,1,0,67,0,0,,0,,DF,Burnley,0,0,0,0,0,0,0,0,0,
79,80,Christian Atsu,2019-2020,80,4139,41,39,3,6,3,0,68,28,39.7,18.4,0,854,73.2,56,15,94,1080,8149,147,105,85,153,69,45.1,51,39,24,23,4,8,25,52,1,29,17.2,5,0,34,61,14,0,235,0,0,,0,,"FW,MF","Everton,Newcastle Utd",0,0,0,0,0,0,0,0,0,
80,81,Pierre-Emerick Aubameyang,2022-2023,143,10842,120,23,69,16,60,9,313,133,42.5,14.7,3,2081,69.7,107,27,255,2353,14887,306,197,103,144,74,51.4,81,53,33,31,17,3,34,70,2,135,33.7,9,1,61,78,80,1,285,0,0,,0,,FW,"Arsenal,Chelsea",0,1,0,0,0,0,0,0,0,
81,82,Ludwig Augustinsson,2022-2023,3,77,1,2,0,0,0,0,2,1,50.0,12.7,0,26,60.5,0,0,0,29,180,0,0,0,1,0,0.0,1,1,1,0,0,0,0,1,0,4,80.0,1,0,1,3,0,0,9,0,0,,0,,DF,Aston Villa,0,0,0,0,0,0,0,0,0,
82,83,Serge Aurier,2023-2024,113,9074,104,9,6,14,6,0,62,20,32.3,18.4,0,4082,75.2,85,47,363,3209,13596,184,151,90,178,98,55.1,300,196,180,90,30,28,142,327,7,242,55.0,11,3,128,83,10,1,572,0,0,,0,,DF,"Nott'ham Forest,Tottenham",0,0,0,0,0,0,0,0,0,
83,84,Brandon Austin,2024-2025,1,90,1,0,0,0,0,0,0,0,,,0,22,68.8,0,0,0,22,104,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,2,100.0,0,0,0,2,0,0,1,2,2,50.0,0,0.0,GK,Tottenham,0,0,0,0,0,0,0,0,0,
84,85,Charlie Austin,2020-2021,111,6369,69,42,34,9,28,6,118,102,40.7,15.6,0,307,63.4,13,0,26,400,1470,12,64,39,14,5,35.7,24,26,5,11,8,5,10,27,0,86,34.4,9,1,82,58,32,0,61,0,0,,0,,FW,"QPR,Southampton,West Brom",0,0,0,0,0,0,0,0,0,
85,86,Taiwo Awoniyi,2024-2025,65,2694,31,34,17,4,17,0,65,29,44.6,11.9,0,310,67.4,22,0,30,472,2289,31,121,50,43,18,41.9,30,19,3,17,10,6,5,33,0,49,27.1,4,0,40,42,29,0,102,0,0,,0,,FW,Nott'ham Forest,0,0,0,0,0,0,0,0,0,
