,ID,Player,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG
923,924,Kevin Mbabu,2023-2024,9,287,3,6,0,1,0,0,0,1,,,0,68,72.3,2,3,8,57,273,4,1,2,6,4,66.7,3,2,2,1,0,0,3,3,0,2,25.0,1,0,7,0,0,0,6,0,0,,0,,"DF,FW","Fulham,Newcastle Utd",0,0,0,0,0,0,0,0,0,
924,925,Chancel Mbemba,2017-2018,42,3595,40,2,0,0,0,0,0,2,,,0,202,73.2,4,4,21,148,784,9,2,3,11,8,72.7,16,12,13,3,0,3,15,44,1,19,52.8,5,0,26,4,0,0,34,0,0,,0,,DF,Newcastle Utd,0,0,0,0,0,0,0,0,0,
925,926,Isaac Mbenza,2018-2019,22,986,10,12,1,1,1,0,16,5,31.3,22.4,0,183,67.3,7,5,18,231,1494,25,18,10,15,5,33.3,10,9,5,5,0,0,5,4,0,2,16.7,1,0,8,5,5,0,52,0,0,,0,,"FW,MF",Huddersfield,0,0,0,0,0,0,0,0,0,
926,927,Bryan Mbeumo,2024-2025,121,9835,115,6,36,24,27,9,237,89,37.6,16.7,12,2223,66.1,161,33,319,2783,17095,300,291,177,307,139,45.3,97,61,23,40,34,12,40,88,0,109,29.4,13,0,84,128,32,0,453,0,0,,0,,FW,Brentford,0,0,0,0,0,0,0,0,0,
927,928,James McArthur,2022-2023,323,23064,256,67,23,23,23,0,130,69,25.4,16.2,0,4612,79.0,117,11,588,3921,20185,172,201,144,164,112,68.3,321,247,148,139,34,56,215,215,2,171,43.5,52,0,424,164,13,0,832,0,0,,0,,MF,"Crystal Palace,Wigan Athletic",0,0,0,0,0,0,0,0,0,
928,929,James Mcatee,2024-2025,39,1913,20,19,4,3,3,1,30,9,30.0,17.8,2,410,69.6,28,3,55,492,3512,61,50,43,96,35,36.5,33,22,9,14,10,0,12,18,0,12,26.7,2,0,18,30,1,0,99,0,0,,0,,MF,"Manchester City,Sheffield Utd",0,0,0,0,0,0,0,0,0,
929,930,Kasey McAteer,2024-2025,12,389,4,8,0,1,0,0,6,2,33.3,15.8,0,92,69.7,5,1,8,113,750,13,6,4,9,1,11.1,11,8,6,4,1,1,2,10,0,9,42.9,1,0,9,10,2,0,25,0,0,,0,,FW,Leicester City,0,0,0,0,0,0,0,0,0,
930,931,Gareth McAuley,2017-2018,203,17708,199,4,15,3,15,0,17,35,41.2,,0,85,65.4,0,0,10,74,299,3,2,0,1,1,100.0,8,44,6,2,0,4,85,16,0,15,60.0,18,2,130,14,0,1,26,0,0,,0,,DF,West Brom,0,0,0,0,0,0,0,0,0,
931,932,Oliver McBurnie,2023-2024,96,5075,53,43,13,4,11,2,118,55,46.6,11.3,0,939,59.0,38,2,141,909,3800,50,103,76,75,33,44.0,73,40,17,43,13,8,26,104,0,468,51.2,13,2,76,85,13,0,174,0,0,,0,,FW,"Sheffield Utd,Swansea City",0,0,0,0,0,0,0,0,0,
932,933,Liam McCarron,2021-2022,1,10,0,1,0,0,0,0,0,0,,,0,2,100.0,0,0,0,2,15,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,0,,FW,Leeds United,0,0,0,0,0,0,0,0,0,
933,934,Alex McCarthy,2024-2025,152,13647,151,1,0,0,0,0,0,0,,,0,2301,58.3,2,0,1,2095,11406,0,2,0,5,5,100.0,2,1,2,0,0,0,2,44,11,55,94.8,6,0,1,12,0,0,125,259,482,66.6,30,19.9,GK,"Crystal Palace,QPR,Reading,Southampton",0,0,0,0,0,0,0,0,0,
934,935,James McCarthy,2020-2021,272,20876,237,35,13,12,13,0,20,58,30.0,22.6,0,963,75.5,23,2,95,658,2733,9,31,13,16,12,75.0,109,81,49,48,12,14,49,26,1,28,49.1,49,1,308,33,0,0,212,0,0,,0,,MF,"Crystal Palace,Everton,Wigan Athletic",0,0,0,0,0,0,0,0,0,
935,936,James McClean,2017-2018,158,9483,99,59,11,9,11,0,53,57,35.8,20.3,1,288,62.3,18,18,12,400,2940,49,30,28,40,22,55.0,40,69,23,14,3,4,39,22,0,15,40.5,29,1,154,29,12,1,91,0,0,,0,,"DF,FW","Sunderland,West Brom",0,0,0,0,0,0,0,0,0,
936,937,James McConnell,2024-2025,3,4,0,3,0,0,0,0,0,0,,,0,5,83.3,0,0,1,5,47,0,1,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,,0,0,1,1,0,0,0,0,0,,0,,MF,Liverpool,0,0,0,0,0,0,0,0,0,
937,938,Kevin McDonald,2018-2019,41,2306,25,16,1,1,1,0,4,3,0.0,28.3,0,494,84.7,4,0,41,272,1324,2,3,5,0,0,,15,11,6,8,1,2,9,22,0,19,82.6,10,1,31,6,0,0,47,0,0,,0,,MF,"Burnley,Fulham",0,0,0,0,0,0,0,0,0,
938,939,John McGinn,2024-2025,188,15696,180,8,16,22,16,0,244,74,30.3,22.1,4,4823,77.2,213,51,917,4708,24275,238,293,224,410,258,62.9,361,218,126,181,54,21,152,118,3,102,42.0,42,1,238,397,6,0,978,0,0,,0,,MF,Aston Villa,0,0,0,0,0,0,0,0,0,
939,940,David McGoldrick,2020-2021,63,4212,50,13,10,3,10,0,117,43,36.8,16.7,1,1158,73.5,34,7,137,1182,6197,71,150,71,129,78,60.5,74,47,17,39,18,5,5,48,0,173,41.9,9,0,75,51,29,0,155,0,0,,0,,FW,Sheffield Utd,0,0,0,0,0,0,0,0,0,
940,941,Michael McGovern,2021-2022,2,159,1,1,0,0,0,0,0,0,,,0,30,58.8,0,0,0,27,133,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,3,6,6,53.8,0,0.0,GK,Norwich City,0,0,0,0,0,0,0,0,0,
941,942,Scott McKenna,2023-2024,25,1987,24,1,0,0,0,0,4,0,0.0,9.5,0,706,77.3,11,1,45,532,2250,6,5,2,7,5,71.4,16,7,10,4,2,18,17,112,1,56,68.3,4,0,11,6,0,0,93,0,0,,0,,DF,Nott'ham Forest,0,0,0,0,0,0,0,0,0,
942,943,Weston McKennie,2022-2023,19,1437,16,3,0,1,0,0,13,2,15.4,15.9,0,472,75.2,13,3,82,400,1738,14,28,25,16,11,68.8,30,13,5,18,7,3,22,26,0,25,52.1,7,0,21,5,1,0,95,0,0,,0,,MF,Leeds United,0,0,0,0,0,0,0,0,0,
943,944,Stuart McKinstry,2021-2022,1,4,0,1,0,0,0,0,0,0,,,0,2,66.7,0,0,0,3,14,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,0,,MF,Leeds United,0,0,0,0,0,0,0,0,0,
944,945,Kenny McLean,2021-2022,68,5674,61,7,2,1,2,0,63,16,25.4,20.9,2,2148,75.4,34,3,272,2047,10165,78,92,52,74,50,67.6,86,51,38,38,10,14,72,121,2,160,48.9,8,0,40,96,4,0,340,0,0,,0,,MF,Norwich City,0,0,0,0,0,0,0,0,0,
945,946,Dwight McNeil,2024-2025,217,17635,200,17,20,29,20,0,279,81,29.0,21.9,19,4899,68.2,326,131,586,5479,40158,603,366,329,661,365,55.2,326,202,141,126,59,42,168,211,3,113,42.6,17,0,117,192,10,0,1190,0,0,,0,,MF,"Burnley,Everton",0,0,0,0,0,0,0,0,0,
