,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team_df1,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG,Wiki,Obscurity,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
371,Bournemouth,Enes Ünal,https://en.wikipedia.org/wiki/Enes_%C3%9Cnal,,1460,Enes Ünal,2024-2025,33,673,4,29,4,3,4,0,43,15,34.9,13.5,5,118,67.8,9,0,19,179,588,8,32,23,23,3,13.0,7,4,2,3,2,2,1,12,0,32,49.2,3,0,16,18,7,0,26,0,0,,0,,"FW,MF",Bournemouth,0,0,0,0,0,0,0,0,0,,184122.0,93.09501729,Enes Ünal,Enes Ünal,100.0,Bournemouth,66,1459
398,Bournemouth,Illya Zabarnyi,https://en.wikipedia.org/wiki/Illya_Zabarnyi,,1564,Illia Zabarnyi,2024-2025,65,5699,63,2,1,0,1,0,15,2,13.3,8.3,0,2544,81.8,16,0,204,2290,13469,42,28,7,22,14,63.6,100,58,52,46,2,53,59,274,6,129,59.4,8,0,36,30,0,0,280,0,0,,0,,DF,Bournemouth,0,0,0,0,0,0,0,0,0,,,95.1363363,Illia Zabarnyi,Illya Zabarnyi,92.85714285714286,Bournemouth,67,1563
40,Bournemouth,Owen Bevan,https://en.wikipedia.org/wiki/Owen_Bevan,,164,Owen Bevan,2022-2023,1,9,0,1,0,0,0,0,0,0,,,0,2,66.7,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,0,,DF,Bournemouth,0,0,0,0,0,0,0,0,0,,17521.0,99.52036426,Owen Bevan,Owen Bevan,100.0,Bournemouth,68,163
335,Bournemouth,Zain Silcott-Duberry,https://en.wikipedia.org/wiki/Zain_Silcott-Duberry,,1319,Zain Silcott-Duberry,2024-2025,1,1,0,1,0,0,0,0,0,0,,,0,1,50.0,0,0,0,1,6,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,,FW,Bournemouth,0,0,0,0,0,0,0,0,0,,6246.0,99.86379582,Zain Silcott-Duberry,Zain Silcott-Duberry,100.0,Bournemouth,70,1318
392,Bournemouth,Ben Winterburn,https://en.wikipedia.org/wiki/Ben_Winterburn,,1542,Ben Winterburn,2024-2025,2,10,0,2,0,0,0,0,0,0,,,0,1,50.0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,1,0,0,,0,,MF,Bournemouth,0,0,0,0,0,0,0,0,0,,332.0,100.0,Ben Winterburn,Ben Winterburn,100.0,Bournemouth,74,1541
313,Bournemouth,Dominic Sadi,https://en.wikipedia.org/wiki/Dominic_Sadi,,1256,Dominic Sadi,2024-2025,1,1,0,1,0,0,0,0,0,0,,,0,0,0.0,0,0,0,1,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,,MF,Bournemouth,0,0,0,0,0,0,0,0,0,,9000.0,99.77990359,Dominic Sadi,Dominic Sadi,100.0,Bournemouth,76,1255
298,Bournemouth,Remy Rees-Dottin,https://en.wikipedia.org/wiki/Remy_Rees-Dottin,,1194,Remy Rees-Dottin,2024-2025,1,1,0,1,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,FW,Bournemouth,0,0,0,0,0,0,0,0,0,,0.0,92.34997123,Remy Rees-Dottin,Remy Rees-Dottin,100.0,Bournemouth,77,1193
375,Brighton & Hove Albion,Bart Verbruggen,https://en.wikipedia.org/wiki/Bart_Verbruggen,,1474,Bart Verbruggen,2024-2025,42,3780,42,0,0,0,0,0,0,0,,,0,1391,83.5,0,0,5,1235,4594,0,2,0,3,3,100.0,1,1,1,0,0,0,0,24,6,14,93.3,6,0,1,3,0,0,76,58,117,71.3,8,19.0,GK,Brighton,0,0,0,0,0,0,0,0,0,,265398.0,90.25357513,Bart Verbruggen,Bart Verbruggen,100.0,Brighton & Hove Albion,78,1473
210,Brighton & Hove Albion,Tariq Lamptey,https://en.wikipedia.org/wiki/Tariq_Lamptey,,805,Tariq Lamptey,2024-2025,98,4863,52,46,3,9,3,0,42,8,19.0,18.7,0,1948,78.4,55,40,129,1909,12464,223,124,41,177,77,43.5,101,68,52,37,12,12,73,71,2,22,24.4,14,1,82,132,7,0,275,0,0,,0,,DF,"Brighton,Chelsea",0,0,0,0,0,0,0,0,0,,135067.0,92.6260528,Tariq Lamptey,Tariq Lamptey,100.0,Brighton & Hove Albion,79,804
383,Brighton & Hove Albion,Adam Webster,"https://en.wikipedia.org/wiki/Adam_Webster_(footballer,_born_1995)",,1512,Adam Webster,2024-2025,130,9992,115,15,6,1,6,0,76,19,25.0,12.5,0,6718,84.5,28,1,580,5512,31813,126,71,19,59,45,76.3,124,67,73,40,11,93,146,372,13,339,66.2,17,0,74,47,3,3,625,0,0,,0,,DF,Brighton,0,0,0,0,0,0,0,0,0,,52925.0,94.61748403,Adam Webster,Adam Webster,100.0,Brighton & Hove Albion,81,1511
