,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
14,453,Atlanta Hawks,Jacob Toppin,https://en.wikipedia.org/wiki/Jacob_Toppin,197531.0,768,Jacob Toppin,2024-25,22,0,0,78,8,18,7,12,1,6,2,2,5,11,16,7,1,1,3,5,19,0.444,0.583,0.167,1.0,0.503,0.472,F,NYK,0,0,0,0,0,60304.0,Jacob Toppin,Jacob Toppin,100.0,Atlanta Hawks,15,767,460240
15,478,Atlanta Hawks,Keaton Wallace,https://en.wikipedia.org/wiki/Keaton_Wallace,28586.0,802,Keaton Wallace,2024-25,17,2,0,286,39,89,22,45,17,44,7,7,3,25,28,36,17,6,18,18,102,0.438,0.489,0.386,1.0,0.554,0.534,G,ATL,0,0,0,0,0,7403.0,Keaton Wallace,Keaton Wallace,100.0,Atlanta Hawks,16,801,460240
16,509,Atlanta Hawks,Trae Young,https://en.wikipedia.org/wiki/Trae_Young,640276.0,861,Trae Young,2024-25,445,445,3,15245,3566,8221,2395,4909,1171,3312,2958,3389,283,1299,1582,4318,464,71,1861,768,11261,0.434,0.488,0.354,0.873,0.58,0.505,G,ATL,0,0,0,1,0,5129014.0,Trae Young,Trae Young,100.0,Atlanta Hawks,17,860,460240
17,56,Boston Celtics,Jaylen Brown,https://en.wikipedia.org/wiki/Jaylen_Brown,1920374.0,98,Jaylen Brown,2024-25,575,468,3,17557,4078,8536,2979,5487,1099,3049,1599,2209,579,2474,3053,1473,585,219,1213,1448,10854,0.478,0.543,0.36,0.724,0.571,0.542,F-G,BOS,0,0,0,1,1,4094808.0,Jaylen Brown,Jaylen Brown,100.0,Boston Celtics,18,97,1932688
18,98,Boston Celtics,Torrey Craig,https://en.wikipedia.org/wiki/Torrey_Craig,107679.0,172,Torrey Craig,2024-25,441,168,0,8713,1013,2232,599,1067,414,1165,211,300,557,1197,1754,464,228,243,286,911,2651,0.454,0.561,0.355,0.703,0.561,0.547,G-F,"BOS,CHI,DEN,IND,MIL,PHO",0,0,0,0,1,125471.0,Torrey Craig,Torrey Craig,100.0,Boston Celtics,19,171,1932688
19,108,Boston Celtics,JD Davison,https://en.wikipedia.org/wiki/JD_Davison,79655.0,188,JD Davison,2024-25,25,0,0,129,15,36,9,19,6,17,5,8,4,17,21,22,4,3,12,10,41,0.417,0.474,0.353,0.625,0.519,0.5,G,BOS,0,0,0,0,1,0.0,JD Davison,JD Davison,100.0,Boston Celtics,20,187,1932688
20,185,Boston Celtics,Sam Hauser,https://en.wikipedia.org/wiki/Sam_Hauser,249726.0,327,Sam Hauser,2024-25,220,27,0,3898,544,1225,120,194,424,1031,31,38,111,503,614,201,96,55,76,242,1543,0.444,0.619,0.411,0.816,0.621,0.617,F,BOS,0,0,0,0,1,74942.0,Sam Hauser,Sam Hauser,100.0,Boston Celtics,21,326,1932688
21,195,Boston Celtics,Jrue Holiday,https://en.wikipedia.org/wiki/Jrue_Holiday,1420294.0,345,Jrue Holiday,2024-25,1011,930,2,33368,6333,13697,4802,9555,1531,4142,1959,2491,965,3267,4232,6340,1443,524,2645,2150,16156,0.462,0.503,0.37,0.786,0.546,0.518,G,"BOS,MIL,NOP,PHI",0,0,0,0,2,904731.0,Jrue Holiday,Jrue Holiday,100.0,Boston Celtics,22,344,1932688
22,200,Boston Celtics,Al Horford,https://en.wikipedia.org/wiki/Al_Horford,1187414.0,352,Al Horford,2024-25,1111,1061,5,35160,5970,11680,5043,9229,927,2451,1581,2078,2123,6626,8749,3570,853,1278,1549,2385,14448,0.511,0.546,0.378,0.761,0.574,0.551,C-F,"ATL,BOS,OKC,PHI",0,0,0,1,1,749658.0,Al Horford,Al Horford,100.0,Boston Celtics,23,351,1932688
23,264,Boston Celtics,Luke Kornet,https://en.wikipedia.org/wiki/Luke_Kornet,227690.0,445,Luke Kornet,2024-25,316,46,0,4503,620,1206,472,748,148,458,190,240,372,648,1020,317,104,261,118,358,1578,0.514,0.631,0.323,0.792,0.602,0.575,C-F,"BOS,CHI,CLE,MIL,NYK",0,0,0,0,1,0.0,Luke Kornet,Luke Kornet,100.0,Boston Celtics,24,444,1932688
