,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
54,155,Charlotte Hornets,Taj Gibson,https://en.wikipedia.org/wiki/Taj_Gibson,221248.0,273,Taj Gibson,2024-25,981,458,0,22826,3447,6667,3392,6460,55,207,1379,1935,2103,3550,5653,932,527,950,1029,2391,8328,0.517,0.525,0.266,0.713,0.554,0.521,F-C,"CHI,CHO,DET,MIN,NYK,OKC,WAS",0,0,0,0,0,400784.0,Taj Gibson,Taj Gibson,100.0,Charlotte Hornets,58,272,757776
55,170,Charlotte Hornets,Josh Green,https://en.wikipedia.org/wiki/Josh_Green_(basketball),230544.0,297,Josh Green,2024-25,259,97,0,5543,645,1320,423,736,222,584,174,255,216,493,709,392,187,42,227,515,1686,0.489,0.575,0.38,0.682,0.589,0.573,G-F,"CHO,DAL",0,0,0,0,0,191061.0,Josh Green,Josh Green,100.0,Charlotte Hornets,59,296,757776
56,224,Charlotte Hornets,DaQuan Jeffries,https://en.wikipedia.org/wiki/DaQuan_Jeffries,34700.0,391,DaQuan Jeffries,2024-25,72,5,0,841,101,224,65,108,36,116,15,20,28,91,119,40,24,17,25,84,253,0.451,0.602,0.31,0.75,0.543,0.531,G-F,"CHO,HOU,MEM,NYK,SAC",0,0,0,0,0,0.0,DaQuan Jeffries,DaQuan Jeffries,100.0,Charlotte Hornets,60,390,757776
57,289,Charlotte Hornets,Tre Mann,https://en.wikipedia.org/wiki/Tre_Mann,156476.0,487,Tre Mann,2024-25,181,59,0,3856,643,1566,393,851,250,715,171,217,84,429,513,415,145,30,223,273,1707,0.411,0.462,0.35,0.788,0.514,0.49,G,"CHO,OKC",0,0,0,0,0,332292.0,Tre Mann,Tre Mann,100.0,Charlotte Hornets,61,486,757776
58,314,Charlotte Hornets,Brandon Miller,"https://en.wikipedia.org/wiki/Brandon_Miller_(basketball,_born_2002)",271759.0,529,Brandon Miller,2024-25,101,95,0,3307,674,1574,386,788,288,786,211,252,85,361,446,273,95,62,208,258,1847,0.428,0.49,0.366,0.837,0.548,0.52,F-G,CHO,0,0,0,0,0,264142.0,Brandon Miller,Brandon Miller,100.0,Charlotte Hornets,62,528,757776
59,331,Charlotte Hornets,Wendell Moore Jr.,https://en.wikipedia.org/wiki/Wendell_Moore_Jr.,64183.0,552,Wendell Moore Jr.,2024-25,71,3,0,439,49,109,44,73,5,36,17,19,15,59,74,46,23,9,21,33,120,0.45,0.603,0.139,0.895,0.511,0.472,G-F,"CHO,DET,MIN",0,0,0,0,0,0.0,Wendell Moore Jr.,Wendell Moore Jr.,100.0,Charlotte Hornets,63,551,757776
60,348,Charlotte Hornets,Jusuf Nurkić,https://en.wikipedia.org/wiki/Jusuf_Nurki%C4%87,226532.0,583,Jusuf Nurkić,2024-25,564,481,0,13876,2645,5273,2529,4867,116,406,1347,2017,1436,3614,5050,1400,519,629,1221,1804,6753,0.502,0.52,0.286,0.668,0.548,0.513,C,"CHO,DEN,PHO,POR",0,0,0,0,0,398000.0,Jusuf Nurkić,Jusuf Nurkić,100.0,Charlotte Hornets,64,582,757776
61,350,Charlotte Hornets,Josh Okogie,https://en.wikipedia.org/wiki/Josh_Okogie,68533.0,589,Josh Okogie,2024-25,401,161,0,7678,814,1998,559,1141,255,857,625,838,435,754,1189,461,361,167,331,691,2508,0.407,0.49,0.298,0.746,0.53,0.471,G,"CHO,MIN,PHO",0,0,0,0,0,108321.0,Josh Okogie,Josh Okogie,100.0,Charlotte Hornets,65,588,757776
62,403,Charlotte Hornets,Tidjane Salaün,https://en.wikipedia.org/wiki/Tidjane_Sala%C3%BCn,155365.0,679,Tidjane Salaün,2024-25,34,8,0,625,54,170,24,63,30,107,21,31,35,104,139,37,20,6,29,44,159,0.318,0.381,0.28,0.677,0.433,0.406,F,CHO,0,0,0,0,0,0.0,Tidjane Salaün,Tidjane Salaün,100.0,Charlotte Hornets,66,678,757776
63,423,Charlotte Hornets,KJ Simpson,https://en.wikipedia.org/wiki/KJ_Simpson,29274.0,712,KJ Simpson,2024-25,12,0,0,173,18,61,13,32,5,29,10,15,12,9,21,20,9,2,12,15,51,0.295,0.406,0.172,0.667,0.377,0.336,G,CHO,0,0,0,0,0,0.0,KJ Simpson,KJ Simpson,100.0,Charlotte Hornets,67,711,757776
64,430,Charlotte Hornets,Nick Smith Jr.,https://en.wikipedia.org/wiki/Nick_Smith_Jr.,49186.0,726,Nick Smith Jr.,2024-25,71,1,0,961,150,387,66,185,84,202,14,17,20,83,103,80,16,9,49,66,398,0.388,0.357,0.416,0.824,0.504,0.496,G,CHO,0,0,0,0,0,0.0,Nick Smith Jr.,Nick Smith Jr.,100.0,Charlotte Hornets,68,725,757776
65,497,Charlotte Hornets,Grant Williams,https://en.wikipedia.org/wiki/Grant_Williams_(basketball),334842.0,834,Grant Williams,2024-25,380,108,0,8710,946,2094,500,910,446,1184,386,499,362,1031,1393,552,203,200,387,974,2724,0.452,0.549,0.377,0.774,0.589,0.558,F,"BOS,CHO,DAL",0,0,0,0,0,281444.0,Grant Williams,Grant Williams,100.0,Charlotte Hornets,69,833,757776
66,501,Charlotte Hornets,Mark Williams,https://en.wikipedia.org/wiki/Mark_Williams_(basketball),63660.0,839,Malik Williams,2023-24,7,2,0,107,9,34,8,29,1,5,0,2,15,23,38,2,3,4,3,15,19,0.265,0.276,0.2,0.0,0.272,0.279,C,TOR,0,0,0,0,0,0.0,Malik Williams,Mark Williams,88.88888888888889,Charlotte Hornets,70,838,757776
67,19,Chicago Bulls,Lonzo Ball,https://en.wikipedia.org/wiki/Lonzo_Ball,929933.0,31,Lonzo Ball,2024-25,274,240,0,8631,1165,2918,533,1178,632,1740,175,299,274,1246,1520,1645,425,174,662,581,3137,0.399,0.452,0.363,0.585,0.514,0.508,G,"CHI,LAL,NOP",0,0,0,0,0,18210688.0,Lonzo Ball,Lonzo Ball,100.0,Chicago Bulls,71,30,894908
68,64,Chicago Bulls,Matas Buzelis,https://en.wikipedia.org/wiki/Matas_Buzelis,402516.0,115,Matas Buzelis,2024-25,41,0,0,523,72,188,41,94,31,94,26,32,23,83,106,18,11,35,22,56,201,0.383,0.436,0.33,0.813,0.497,0.465,F,CHI,0,0,0,0,0,211971.0,Matas Buzelis,Matas Buzelis,100.0,Chicago Bulls,72,114,894908
69,72,Chicago Bulls,Jevon Carter,https://en.wikipedia.org/wiki/Jevon_Carter,59577.0,129,Jevon Carter,2024-25,395,48,0,6081,747,1882,297,710,450,1172,109,137,122,541,663,625,234,97,236,498,2053,0.397,0.418,0.384,0.796,0.529,0.516,G,"BRK,CHI,MEM,MIL,PHO",0,0,0,0,0,102029.0,Jevon Carter,Jevon Carter,100.0,Chicago Bulls,73,128,894908
70,93,Chicago Bulls,Zach Collins,https://en.wikipedia.org/wiki/Zach_Collins,86069.0,161,Zach Collins,2024-25,346,75,0,6565,1052,2204,830,1537,222,667,440,580,496,1140,1636,623,145,239,478,882,2766,0.477,0.54,0.333,0.759,0.562,0.528,C-F,"CHI,POR,SAS",0,0,0,0,0,94992.0,Zach Collins,Zach Collins,100.0,Chicago Bulls,74,160,894908
71,119,Chicago Bulls,Ayo Dosunmu,https://en.wikipedia.org/wiki/Ayo_Dosunmu,108631.0,207,Ayo Dosunmu,2024-25,266,145,0,7429,1078,2147,788,1345,290,802,251,324,146,631,777,859,218,105,352,606,2697,0.502,0.586,0.362,0.775,0.589,0.57,G,CHI,0,0,0,0,0,211460.0,Ayo Dosunmu,Ayo Dosunmu,100.0,Chicago Bulls,75,206,894908
72,156,Chicago Bulls,Josh Giddey,https://en.wikipedia.org/wiki/Josh_Giddey,885430.0,274,Josh Giddey,2024-25,249,249,0,7167,1389,3022,1130,2191,259,831,320,426,417,1400,1817,1459,201,115,656,403,3357,0.46,0.516,0.312,0.751,0.523,0.502,G,"CHI,OKC",0,0,0,0,0,487368.0,Josh Giddey,Josh Giddey,100.0,Chicago Bulls,76,273,894908
73,201,Chicago Bulls,Talen Horton-Tucker,https://en.wikipedia.org/wiki/Talen_Horton-Tucker,139493.0,353,Talen Horton-Tucker,2024-25,282,55,0,5632,980,2296,743,1513,237,783,443,575,139,625,764,816,229,107,405,522,2640,0.427,0.491,0.303,0.77,0.518,0.478,G-F,"CHI,LAL,UTA",0,0,0,0,1,311860.0,Talen Horton-Tucker,Talen Horton-Tucker,100.0,Chicago Bulls,77,352,894908
74,191,Chicago Bulls,Kevin Huerter,https://en.wikipedia.org/wiki/Kevin_Huerter,90581.0,337,Kevin Hervey,2019-20,10,0,0,52,7,27,4,7,3,20,0,0,1,11,12,5,1,1,0,4,17,0.259,0.571,0.15,,0.315,0.315,F,OKC,0,0,0,0,0,0.0,Kevin Hervey,Kevin Huerter,80.0,Chicago Bulls,78,336,894908
75,245,Chicago Bulls,Tre Jones,https://en.wikipedia.org/wiki/Tre_Jones,98886.0,420,Tre Jones,2024-25,274,125,0,5914,878,1830,750,1403,128,427,354,422,163,597,760,1282,232,29,301,308,2238,0.48,0.535,0.3,0.839,0.555,0.515,G,"CHI,SAS",0,0,0,0,0,282605.0,Tre Jones,Tre Jones,100.0,Chicago Bulls,79,419,894908
76,277,Chicago Bulls,E.J. Liddell,https://en.wikipedia.org/wiki/E._J._Liddell,52855.0,467,E.J. Liddell,2024-25,14,0,0,54,6,14,3,3,3,11,4,4,1,9,10,4,3,3,4,10,19,0.429,1.0,0.273,1.0,0.603,0.536,F,"CHI,NOP",0,0,0,0,0,53377.0,E.J. Liddell,E.J. Liddell,100.0,Chicago Bulls,80,466,894908
77,359,Chicago Bulls,Julian Phillips,https://en.wikipedia.org/wiki/Julian_Phillips_(basketball),51496.0,614,Julian Phillips,2024-25,82,3,0,891,100,232,62,110,38,122,40,57,50,70,120,30,26,17,28,96,278,0.431,0.564,0.311,0.702,0.541,0.513,F,CHI,0,0,0,0,0,23833.0,Julian Phillips,Julian Phillips,100.0,Chicago Bulls,82,613,894908
78,429,Chicago Bulls,Jalen Smith,https://en.wikipedia.org/wiki/Jalen_Smith,140357.0,725,Jalen Smith,2024-25,246,55,0,3999,789,1548,586,941,203,607,307,409,406,877,1283,190,66,172,191,451,2088,0.51,0.623,0.334,0.751,0.604,0.575,F,"CHI,IND,PHO",0,0,0,0,0,57174.0,Jalen Smith,Jalen Smith,100.0,Chicago Bulls,83,724,894908
79,444,Chicago Bulls,Dalen Terry,https://en.wikipedia.org/wiki/Dalen_Terry,44763.0,752,Dalen Terry,2024-25,137,3,0,1409,154,346,115,202,39,144,66,102,61,145,206,145,59,32,73,167,413,0.445,0.569,0.271,0.647,0.528,0.501,G,CHI,0,0,0,0,0,1815.0,Dalen Terry,Dalen Terry,100.0,Chicago Bulls,84,751,894908
80,469,Chicago Bulls,Nikola Vučević,https://en.wikipedia.org/wiki/Nikola_Vu%C4%8Devi%C4%87,219835.0,790,Nikola Vučević,2024-25,941,878,2,29581,6932,13926,6081,11473,851,2453,1516,1969,2356,7517,9873,2698,794,819,1616,2294,16231,0.498,0.53,0.347,0.77,0.549,0.528,C,"CHI,ORL,PHI",0,0,0,0,0,0.0,Nikola Vučević,Nikola Vučević,100.0,Chicago Bulls,85,789,894908
81,490,Chicago Bulls,Coby White,https://en.wikipedia.org/wiki/Coby_White,237802.0,821,Coby White,2024-25,388,192,0,11421,2019,4711,1130,2298,889,2413,698,819,147,1255,1402,1474,264,64,671,834,5625,0.429,0.492,0.368,0.852,0.555,0.523,G,CHI,0,0,0,0,0,404668.0,Coby White,Coby White,100.0,Chicago Bulls,86,820,894908
82,502,Chicago Bulls,Patrick Williams,https://en.wikipedia.org/wiki/Patrick_Williams_(basketball),108320.0,841,Patrick Williams,2024-25,246,207,0,6780,890,1950,591,1204,299,746,302,384,228,787,1015,351,213,179,317,435,2381,0.456,0.491,0.401,0.786,0.562,0.533,F,CHI,0,0,0,0,0,10211.0,Patrick Williams,Patrick Williams,100.0,Chicago Bulls,87,840,894908
83,8,Cleveland Cavaliers,Jarrett Allen,https://en.wikipedia.org/wiki/Jarrett_Allen,198404.0,11,Jarrett Allen,2024-25,527,462,1,14910,2696,4235,2677,4123,19,112,1352,1896,1507,3342,4849,868,333,668,712,1042,6763,0.637,0.649,0.17,0.713,0.667,0.639,C-F,"BRK,CLE",0,0,0,0,0,274250.0,Jarrett Allen,Jarrett Allen,100.0,Cleveland Cavaliers,89,10,616854
84,29,Cleveland Cavaliers,Emoni Bates,https://en.wikipedia.org/wiki/Emoni_Bates,166982.0,43,Emoni Bates,2023-24,15,0,0,133,15,49,5,16,10,33,1,4,1,13,14,10,1,2,8,5,41,0.306,0.313,0.303,0.25,0.404,0.408,G,CLE,0,0,0,0,0,503000.0,Emoni Bates,Emoni Bates,100.0,Cleveland Cavaliers,90,42,616854
85,150,Cleveland Cavaliers,Darius Garland,https://en.wikipedia.org/wiki/Darius_Garland,270265.0,265,Darius Garland,2024-25,347,343,1,11600,2383,5249,1581,3189,802,2060,940,1081,167,735,902,2323,398,42,1034,644,6508,0.454,0.496,0.389,0.87,0.568,0.53,G,CLE,0,0,0,0,0,547188.0,Darius Garland,Darius Garland,100.0,Cleveland Cavaliers,91,264,616854
86,168,Cleveland Cavaliers,Javonte Green,https://en.wikipedia.org/wiki/Javonte_Green,73983.0,295,Javonte Green,2024-25,233,69,0,3993,481,913,373,609,108,304,216,285,227,499,726,163,192,102,123,347,1286,0.527,0.612,0.355,0.758,0.619,0.586,F,"BOS,CHI,CLE,NOP",0,0,0,0,0,89047.0,Javonte Green,Javonte Green,100.0,Cleveland Cavaliers,92,294,616854
87,206,Cleveland Cavaliers,De'Andre Hunter,https://en.wikipedia.org/wiki/De%27Andre_Hunter,117928.0,363,De'Andre Hunter,2024-25,291,239,0,8863,1512,3361,1007,1998,505,1363,762,932,184,1007,1191,446,200,87,406,809,4291,0.45,0.504,0.371,0.818,0.569,0.525,F,"ATL,CLE",0,0,0,0,0,88731.0,De'Andre Hunter,De'Andre Hunter,100.0,Cleveland Cavaliers,93,362,616854
88,227,Cleveland Cavaliers,Ty Jerome,https://en.wikipedia.org/wiki/Ty_Jerome,171471.0,395,Ty Jerome,2024-25,197,9,0,3419,551,1251,326,637,225,614,171,202,69,311,380,541,132,20,175,284,1498,0.44,0.512,0.366,0.847,0.559,0.53,G,"CLE,GSW,OKC,PHO",0,0,0,0,0,87413.0,Ty Jerome,Ty Jerome,100.0,Cleveland Cavaliers,94,394,616854
89,311,Cleveland Cavaliers,Sam Merrill,https://en.wikipedia.org/wiki/Sam_Merrill,123215.0,524,Sam Merrill,2024-25,136,5,0,2031,280,706,46,93,234,613,51,56,41,184,225,193,49,12,46,158,845,0.397,0.495,0.382,0.911,0.578,0.562,G,"CLE,MEM,MIL",0,0,0,0,1,29396.0,Sam Merrill,Sam Merrill,100.0,Cleveland Cavaliers,95,523,616854
90,326,Cleveland Cavaliers,Donovan Mitchell,https://en.wikipedia.org/wiki/Donovan_Mitchell,794537.0,542,Donovan Mitchell,2024-25,507,499,5,17227,4452,9903,2924,5760,1528,4143,2087,2479,402,1777,2179,2351,701,164,1377,1237,12519,0.45,0.508,0.369,0.842,0.569,0.527,G,"CLE,UTA",0,0,0,1,0,3858603.0,Donovan Mitchell,Donovan Mitchell,100.0,Cleveland Cavaliers,96,541,616854
91,327,Cleveland Cavaliers,Evan Mobley,https://en.wikipedia.org/wiki/Evan_Mobley,264940.0,543,Evan Mobley,2024-25,236,236,0,7725,1538,2802,1426,2442,112,360,615,882,519,1565,2084,668,196,359,446,576,3803,0.549,0.584,0.311,0.697,0.596,0.569,F-C,CLE,0,0,0,0,0,232329.0,Evan Mobley,Evan Mobley,100.0,Cleveland Cavaliers,97,542,616854
92,352,Cleveland Cavaliers,Isaac Okoro,https://en.wikipedia.org/wiki/Isaac_Okoro,107930.0,591,Isaac Okoro,2024-25,307,232,0,8244,908,1955,614,1120,294,835,422,577,281,577,858,514,250,121,251,704,2532,0.464,0.548,0.352,0.731,0.573,0.54,G-F,CLE,0,0,0,0,0,170953.0,Isaac Okoro,Isaac Okoro,100.0,Cleveland Cavaliers,98,590,616854
93,367,Cleveland Cavaliers,Craig Porter Jr.,https://en.wikipedia.org/wiki/Craig_Porter_Jr.,54629.0,627,Craig Porter Jr.,2024-25,75,6,0,836,140,269,122,223,18,46,47,64,24,103,127,145,26,23,56,50,345,0.52,0.547,0.391,0.734,0.58,0.554,G,CLE,0,0,0,0,0,0.0,Craig Porter Jr.,Craig Porter Jr.,100.0,Cleveland Cavaliers,99,626,616854
94,439,Cleveland Cavaliers,Max Strus,https://en.wikipedia.org/wiki/Max_Strus,229007.0,742,Max Strus,2024-25,272,119,0,6914,998,2357,376,654,622,1703,218,269,156,733,889,608,149,63,262,518,2836,0.423,0.575,0.365,0.81,0.573,0.555,G,"CHI,CLE,MIA",0,0,0,0,0,161006.0,Max Strus,Max Strus,100.0,Cleveland Cavaliers,100,741,616854
95,449,Cleveland Cavaliers,Tristan Thompson,https://en.wikipedia.org/wiki/Tristan_Thompson,807390.0,762,Tristan Thompson,2024-25,796,478,0,20221,2745,5272,2735,5232,10,40,1293,2175,2487,3850,6337,782,376,520,860,1724,6793,0.521,0.523,0.25,0.594,0.545,0.522,F-C,"BOS,CHI,CLE,IND,SAC",0,0,0,0,1,3826307.0,Tristan Thompson,Tristan Thompson,100.0,Cleveland Cavaliers,101,761,616854
96,456,Cleveland Cavaliers,Luke Travers,https://en.wikipedia.org/wiki/Luke_Travers,44611.0,773,Luke Travers,2024-25,6,0,0,42,3,7,3,4,0,3,2,2,1,5,6,5,1,1,2,3,8,0.429,0.75,0.0,1.0,0.508,0.429,G,CLE,0,0,0,0,0,24480.0,Luke Travers,Luke Travers,100.0,Cleveland Cavaliers,103,772,616854
97,462,Cleveland Cavaliers,Jaylon Tyson,https://en.wikipedia.org/wiki/Jaylon_Tyson,69502.0,780,Jaylon Tyson,2024-25,24,1,0,169,19,47,14,30,5,17,4,8,15,26,41,16,5,0,11,24,47,0.404,0.467,0.294,0.5,0.465,0.457,G,CLE,0,0,0,0,0,26395.0,Jaylon Tyson,Jaylon Tyson,100.0,Cleveland Cavaliers,104,779,616854
98,471,Cleveland Cavaliers,Dean Wade,https://en.wikipedia.org/wiki/Dean_Wade,98258.0,792,Dean Wade,2024-25,256,115,0,4992,477,1110,173,285,304,825,97,143,159,756,915,254,161,93,97,414,1355,0.43,0.607,0.368,0.678,0.578,0.567,F,CLE,0,0,0,0,0,39820.0,Dean Wade,Dean Wade,100.0,Cleveland Cavaliers,105,791,616854
99,81,Dallas Mavericks,Max Christie,https://en.wikipedia.org/wiki/Max_Christie,802.0,147,Max Christie,2024-25,147,28,0,2395,253,586,139,279,114,307,119,143,46,264,310,133,63,40,78,149,739,0.432,0.498,0.371,0.832,0.569,0.529,G,"DAL,LAL",0,0,0,0,0,210967.0,Max Christie,Max Christie,100.0,Dallas Mavericks,106,146,1253803
100,107,Dallas Mavericks,Anthony Davis,https://en.wikipedia.org/wiki/Anthony_Davis,1149289.0,185,Anthony Davis,2024-25,773,766,9,26703,6975,13343,6608,12113,367,1230,4346,5469,2052,6211,8263,1956,1022,1785,1544,1814,18663,0.523,0.546,0.298,0.795,0.593,0.536,F-C,"DAL,LAL,NOH,NOP",0,0,0,5,1,6885523.0,Anthony Davis,Anthony Davis,100.0,Dallas Mavericks,107,184,1253803
101,115,Dallas Mavericks,Spencer Dinwiddie,https://en.wikipedia.org/wiki/Spencer_Dinwiddie,419818.0,202,Spencer Dinwiddie,2024-25,582,326,0,16059,2462,5964,1550,3230,912,2734,1771,2216,246,1493,1739,2951,414,158,947,1283,7607,0.413,0.48,0.334,0.799,0.548,0.489,G,"BRK,DAL,DET,LAL,WAS",0,0,0,0,0,328841.0,Spencer Dinwiddie,Spencer Dinwiddie,100.0,Dallas Mavericks,108,201,1253803
102,132,Dallas Mavericks,Kessler Edwards,https://en.wikipedia.org/wiki/Kessler_Edwards,48196.0,228,Kessler Edwards,2024-25,150,27,0,1673,180,448,95,201,85,247,32,43,76,201,277,70,53,35,60,155,477,0.402,0.473,0.344,0.744,0.511,0.497,F,"BRK,DAL,SAC",0,0,0,0,0,20108.0,Kessler Edwards,Kessler Edwards,100.0,Dallas Mavericks,109,227,1253803
103,137,Dallas Mavericks,Danté Exum,https://en.wikipedia.org/wiki/Dant%C3%A9_Exum,99902.0,237,Dante Exum,2023-24,300,89,0,5633,670,1554,450,899,220,655,257,335,116,474,590,672,123,49,357,514,1817,0.431,0.501,0.336,0.767,0.534,0.502,G,"CLE,DAL,UTA",0,0,0,0,0,211278.0,Dante Exum,Danté Exum,90.0,Dallas Mavericks,110,236,1253803
104,149,Dallas Mavericks,Daniel Gafford,https://en.wikipedia.org/wiki/Daniel_Gafford,405184.0,262,Daniel Gafford,2024-25,361,201,0,7063,1359,1913,1359,1912,0,1,544,815,752,1227,1979,364,184,540,341,883,3262,0.71,0.711,0.0,0.667,0.718,0.71,C-F,"CHI,DAL,WAS",0,0,0,0,0,168829.0,Daniel Gafford,Daniel Gafford,100.0,Dallas Mavericks,111,261,1253803
105,178,Dallas Mavericks,Jaden Hardy,https://en.wikipedia.org/wiki/Jaden_Hardy,107406.0,315,Jaden Hardy,2024-25,155,15,0,2237,441,1046,254,557,187,489,158,201,38,235,273,223,60,16,158,198,1227,0.422,0.456,0.382,0.786,0.541,0.511,G,DAL,0,0,0,0,0,407518.0,Jaden Hardy,Jaden Hardy,100.0,Dallas Mavericks,112,314,1253803
106,212,Dallas Mavericks,Kyrie Irving,https://en.wikipedia.org/wiki/Kyrie_Irving,2957736.0,372,Kyrie Irving,2024-25,761,761,8,26212,6622,13954,4794,9328,1828,4626,2892,3263,611,2468,3079,4287,997,326,1904,1738,17964,0.475,0.514,0.395,0.886,0.584,0.54,G,"BOS,BRK,CLE,DAL",0,1,0,3,1,20097931.0,Kyrie Irving,Kyrie Irving,100.0,Dallas Mavericks,113,371,1253803
107,242,Dallas Mavericks,Kai Jones,https://en.wikipedia.org/wiki/Kai_Jones,163856.0,417,Kai Jones,2024-25,92,0,0,814,100,168,95,145,5,23,31,46,54,124,178,29,24,45,47,96,236,0.595,0.655,0.217,0.674,0.627,0.61,F-C,"CHO,LAC",0,0,0,0,0,148693.0,Kai Jones,Kai Jones,100.0,Dallas Mavericks,114,416,1253803
108,279,Dallas Mavericks,Dereck Lively II,https://en.wikipedia.org/wiki/Dereck_Lively_II,603409.0,470,Dereck Lively II,2024-25,87,67,0,2062,345,473,345,471,0,2,85,150,234,395,629,144,53,131,89,238,775,0.729,0.732,0.0,0.567,0.719,0.729,C,DAL,0,0,0,0,0,264562.0,Dereck Lively II,Dereck Lively II,100.0,Dallas Mavericks,115,469,1253803
109,291,Dallas Mavericks,Naji Marshall,https://en.wikipedia.org/wiki/Naji_Marshall,121420.0,491,Naji Marshall,2024-25,263,50,0,5293,753,1700,550,1054,203,646,379,481,183,744,927,550,195,47,293,379,2088,0.443,0.522,0.314,0.788,0.546,0.503,F,"DAL,NOP",0,0,0,0,0,36709.0,Naji Marshall,Naji Marshall,100.0,Dallas Mavericks,116,490,1253803
110,292,Dallas Mavericks,Caleb Martin,https://en.wikipedia.org/wiki/Caleb_Martin_(basketball),201623.0,492,Caleb Martin,2024-25,297,112,0,7283,937,2089,624,1217,313,872,343,464,316,854,1170,483,259,129,298,532,2530,0.449,0.513,0.359,0.739,0.552,0.523,F,"CHO,MIA,PHI",0,0,0,0,0,226440.0,Caleb Martin,Caleb Martin,100.0,Dallas Mavericks,117,491,1253803
111,373,Dallas Mavericks,Dwight Powell,https://en.wikipedia.org/wiki/Dwight_Powell,152150.0,635,Dwight Powell,2024-25,683,251,0,12265,1734,2873,1611,2455,123,418,1098,1489,1066,1870,2936,700,410,303,455,1497,4689,0.604,0.656,0.294,0.737,0.665,0.625,F-C,"BOS,DAL",0,0,0,0,0,114172.0,Dwight Powell,Dwight Powell,100.0,Dallas Mavericks,118,634,1253803
112,377,Dallas Mavericks,Olivier-Maxence Prosper,https://en.wikipedia.org/wiki/Olivier-Maxence_Prosper,76327.0,641,Olivier-Maxence Prosper,2024-25,71,1,0,563,67,173,48,106,19,67,46,72,47,91,138,38,17,7,14,31,199,0.387,0.453,0.284,0.639,0.486,0.442,F,DAL,0,0,0,0,0,35874.0,Olivier-Maxence Prosper,Olivier-Maxence Prosper,100.0,Dallas Mavericks,119,640,1253803
113,448,Dallas Mavericks,Klay Thompson,https://en.wikipedia.org/wiki/Klay_Thompson,1706759.0,761,Klay Thompson,2024-25,830,779,5,26861,5976,13225,3385,6925,2591,6300,1496,1741,384,2537,2921,1916,711,429,1386,1670,16039,0.452,0.489,0.411,0.859,0.573,0.55,G-F,"DAL,GSW",0,0,0,2,4,17043028.0,Klay Thompson,Klay Thompson,100.0,Dallas Mavericks,120,760,1253803
114,482,Dallas Mavericks,P.J. Washington,https://en.wikipedia.org/wiki/P._J._Washington,590601.0,808,P.J. Washington,2024-25,368,298,0,11220,1772,3976,1129,2170,643,1806,556,783,440,1672,2112,824,359,357,571,921,4743,0.446,0.52,0.356,0.71,0.549,0.527,F,"CHO,DAL",0,0,0,0,0,851498.0,P.J. Washington,P.J. Washington,100.0,Dallas Mavericks,121,807,1253803
115,495,Dallas Mavericks,Brandon Williams,"https://en.wikipedia.org/wiki/Brandon_Williams_(basketball,_born_1999)",33767.0,831,Brandon Williams,2024-25,53,16,0,828,138,366,101,235,37,131,87,125,25,70,95,117,26,11,71,60,400,0.377,0.43,0.282,0.696,0.475,0.428,G,"DAL,POR",0,0,0,0,0,1138261.0,Brandon Williams,Brandon Williams,100.0,Dallas Mavericks,122,830,1253803
116,5,Denver Nuggets,Trey Alexander,https://en.wikipedia.org/wiki/Trey_Alexander_(basketball),39449.0,6,Trey Alexander,2024-25,14,0,0,62,4,18,2,9,2,9,2,2,0,4,4,6,1,1,1,5,12,0.222,0.222,0.222,1.0,0.318,0.278,G,DEN,0,0,0,0,0,21494.0,Trey Alexander,Trey Alexander,100.0,Denver Nuggets,123,5,721588
117,49,Denver Nuggets,Christian Braun,https://en.wikipedia.org/wiki/Christian_Braun,296789.0,83,Christian Braun,2024-25,199,51,0,4187,585,1160,450,797,135,363,219,303,178,504,682,270,126,76,132,333,1524,0.504,0.565,0.372,0.723,0.589,0.563,G,DEN,0,0,0,0,1,239326.0,Christian Braun,Christian Braun,100.0,Denver Nuggets,124,82,721588
118,68,Denver Nuggets,Vlatko Čančar,https://en.wikipedia.org/wiki/Vlatko_%C4%8Can%C4%8Dar,57646.0,122,Vlatko Čančar,2024-25,134,11,0,1425,174,362,113,194,61,168,61,72,51,176,227,114,36,21,65,131,470,0.481,0.582,0.363,0.847,0.597,0.565,F,DEN,0,0,0,0,1,0.0,Vlatko Čančar,Vlatko Čančar,100.0,Denver Nuggets,125,121,721588
119,162,Denver Nuggets,Aaron Gordon,https://en.wikipedia.org/wiki/Aaron_Gordon,574510.0,283,Aaron Gordon,2024-25,690,596,0,20197,3529,7323,2818,5134,711,2189,1519,2213,1214,3129,4343,1832,508,436,1025,1359,9288,0.482,0.549,0.325,0.686,0.56,0.53,F,"DEN,ORL",0,0,0,0,1,1230537.0,Aaron Gordon,Aaron Gordon,100.0,Denver Nuggets,126,282,721588
