Team,Player,Wikipedia_Link,Pageviews
Charlotte Hornets,Wendell Moore Jr.,https://en.wikipedia.org/wiki/Wendell_Moore_Jr.,64183.0
Charlotte Hornets,Jusuf Nurkić,https://en.wikipedia.org/wiki/Jusuf_Nurki%C4%87,226532.0
Charlotte Hornets,Josh Okogie,https://en.wikipedia.org/wiki/Josh_Okogie,68533.0
Charlotte Hornets,Tidjane Salaün,https://en.wikipedia.org/wiki/Tidjane_Sala%C3%BCn,155365.0
Charlotte Hornets,KJ Simpson,https://en.wikipedia.org/wiki/KJ_Simpson,29274.0
Charlotte Hornets,Nick Smith Jr.,https://en.wikipedia.org/wiki/Nick_Smith_Jr.,49186.0
Charlotte Hornets,Grant Williams,https://en.wikipedia.org/wiki/Grant_Williams_(basketball),334842.0
Charlotte Hornets,Mark Williams,https://en.wikipedia.org/wiki/Mark_Williams_(basketball),63660.0
Chicago Bulls,Lonzo Ball,https://en.wikipedia.org/wiki/Lonzo_Ball,929933.0
Chicago Bulls,Matas Buzelis,https://en.wikipedia.org/wiki/Matas_Buzelis,402516.0
Chicago Bulls,Jevon Carter,https://en.wikipedia.org/wiki/Jevon_Carter,59577.0
Chicago Bulls,Zach Collins,https://en.wikipedia.org/wiki/Zach_Collins,86069.0
Chicago Bulls,Ayo Dosunmu,https://en.wikipedia.org/wiki/Ayo_Dosunmu,108631.0
Chicago Bulls,Josh Giddey,https://en.wikipedia.org/wiki/Josh_Giddey,885430.0
Chicago Bulls,Talen Horton-Tucker,https://en.wikipedia.org/wiki/Talen_Horton-Tucker,139493.0
Chicago Bulls,Kevin Huerter,https://en.wikipedia.org/wiki/Kevin_Huerter,90581.0
Chicago Bulls,Tre Jones,https://en.wikipedia.org/wiki/Tre_Jones,98886.0
Chicago Bulls,E.J. Liddell,https://en.wikipedia.org/wiki/E._J._Liddell,52855.0
Chicago Bulls,Emanuel Miller,https://en.wikipedia.org/wiki/Emanuel_Miller_(basketball),13901.0
Chicago Bulls,Julian Phillips,https://en.wikipedia.org/wiki/Julian_Phillips_(basketball),51496.0
Chicago Bulls,Jalen Smith,https://en.wikipedia.org/wiki/Jalen_Smith,140357.0
Chicago Bulls,Dalen Terry,https://en.wikipedia.org/wiki/Dalen_Terry,44763.0
Chicago Bulls,Nikola Vučević,https://en.wikipedia.org/wiki/Nikola_Vu%C4%8Devi%C4%87,219835.0
Chicago Bulls,Coby White,https://en.wikipedia.org/wiki/Coby_White,237802.0
Chicago Bulls,Patrick Williams,https://en.wikipedia.org/wiki/Patrick_Williams_(basketball),108320.0
Chicago Bulls,Jahmir Young,https://en.wikipedia.org/wiki/Jahmir_Young,17106.0
Cleveland Cavaliers,Jarrett Allen,https://en.wikipedia.org/wiki/Jarrett_Allen,198404.0
Cleveland Cavaliers,Emoni Bates,https://en.wikipedia.org/wiki/Emoni_Bates,166982.0
Cleveland Cavaliers,Darius Garland,https://en.wikipedia.org/wiki/Darius_Garland,270265.0
Cleveland Cavaliers,Javonte Green,https://en.wikipedia.org/wiki/Javonte_Green,73983.0
Cleveland Cavaliers,De'Andre Hunter,https://en.wikipedia.org/wiki/De%27Andre_Hunter,117928.0
Cleveland Cavaliers,Ty Jerome,https://en.wikipedia.org/wiki/Ty_Jerome,171471.0
Cleveland Cavaliers,Sam Merrill,https://en.wikipedia.org/wiki/Sam_Merrill,123215.0
Cleveland Cavaliers,Donovan Mitchell,https://en.wikipedia.org/wiki/Donovan_Mitchell,794537.0
Cleveland Cavaliers,Evan Mobley,https://en.wikipedia.org/wiki/Evan_Mobley,264940.0
Cleveland Cavaliers,Isaac Okoro,https://en.wikipedia.org/wiki/Isaac_Okoro,107930.0
Cleveland Cavaliers,Craig Porter Jr.,https://en.wikipedia.org/wiki/Craig_Porter_Jr.,54629.0
Cleveland Cavaliers,Max Strus,https://en.wikipedia.org/wiki/Max_Strus,229007.0
Cleveland Cavaliers,Tristan Thompson,https://en.wikipedia.org/wiki/Tristan_Thompson,807390.0
Cleveland Cavaliers,Nae'Qwan Tomlin,https://en.wikipedia.org/wiki/Nae%27Qwan_Tomlin,
Cleveland Cavaliers,Luke Travers,https://en.wikipedia.org/wiki/Luke_Travers,44611.0
Cleveland Cavaliers,Jaylon Tyson,https://en.wikipedia.org/wiki/Jaylon_Tyson,69502.0
Cleveland Cavaliers,Dean Wade,https://en.wikipedia.org/wiki/Dean_Wade,98258.0
Dallas Mavericks,Max Christie,https://en.wikipedia.org/wiki/Max_Christie,802.0
Dallas Mavericks,Anthony Davis,https://en.wikipedia.org/wiki/Anthony_Davis,1149289.0
Dallas Mavericks,Spencer Dinwiddie,https://en.wikipedia.org/wiki/Spencer_Dinwiddie,419818.0
Dallas Mavericks,Kessler Edwards,https://en.wikipedia.org/wiki/Kessler_Edwards,48196.0
Dallas Mavericks,Danté Exum,https://en.wikipedia.org/wiki/Dant%C3%A9_Exum,99902.0
Dallas Mavericks,Daniel Gafford,https://en.wikipedia.org/wiki/Daniel_Gafford,405184.0
Dallas Mavericks,Jaden Hardy,https://en.wikipedia.org/wiki/Jaden_Hardy,107406.0
Dallas Mavericks,Kyrie Irving,https://en.wikipedia.org/wiki/Kyrie_Irving,2957736.0
Dallas Mavericks,Kai Jones,https://en.wikipedia.org/wiki/Kai_Jones,163856.0
Dallas Mavericks,Dereck Lively II,https://en.wikipedia.org/wiki/Dereck_Lively_II,603409.0
Dallas Mavericks,Naji Marshall,https://en.wikipedia.org/wiki/Naji_Marshall,121420.0
Dallas Mavericks,Caleb Martin,https://en.wikipedia.org/wiki/Caleb_Martin_(basketball),201623.0
Dallas Mavericks,Dwight Powell,https://en.wikipedia.org/wiki/Dwight_Powell,152150.0
Dallas Mavericks,Olivier-Maxence Prosper,https://en.wikipedia.org/wiki/Olivier-Maxence_Prosper,76327.0
Dallas Mavericks,Klay Thompson,https://en.wikipedia.org/wiki/Klay_Thompson,1706759.0
Dallas Mavericks,P.J. Washington,https://en.wikipedia.org/wiki/P._J._Washington,590601.0
Dallas Mavericks,Brandon Williams,"https://en.wikipedia.org/wiki/Brandon_Williams_(basketball,_born_1999)",33767.0
Denver Nuggets,Trey Alexander,https://en.wikipedia.org/wiki/Trey_Alexander_(basketball),39449.0
Denver Nuggets,Christian Braun,https://en.wikipedia.org/wiki/Christian_Braun,296789.0
Denver Nuggets,Vlatko Čančar,https://en.wikipedia.org/wiki/Vlatko_%C4%8Can%C4%8Dar,57646.0
Denver Nuggets,Aaron Gordon,https://en.wikipedia.org/wiki/Aaron_Gordon,574510.0
Denver Nuggets,PJ Hall,https://en.wikipedia.org/wiki/PJ_Hall_(basketball),59759.0
Denver Nuggets,DaRon Holmes II,https://en.wikipedia.org/wiki/DaRon_Holmes_II,86092.0
Denver Nuggets,Nikola Jokić,https://en.wikipedia.org/wiki/Nikola_Joki%C4%87,3156198.0
Denver Nuggets,Spencer Jones,https://en.wikipedia.org/wiki/Spencer_Jones_(basketball),7516.0
Denver Nuggets,DeAndre Jordan,https://en.wikipedia.org/wiki/DeAndre_Jordan,398669.0
Denver Nuggets,Jamal Murray,https://en.wikipedia.org/wiki/Jamal_Murray,721924.0
Denver Nuggets,Zeke Nnaji,https://en.wikipedia.org/wiki/Zeke_Nnaji,56689.0
Denver Nuggets,Jalen Pickett,https://en.wikipedia.org/wiki/Jalen_Pickett,40513.0
Denver Nuggets,Michael Porter Jr.,https://en.wikipedia.org/wiki/Michael_Porter_Jr.,713130.0
Denver Nuggets,Dario Šarić,https://en.wikipedia.org/wiki/Dario_%C5%A0ari%C4%87,191527.0
Denver Nuggets,Julian Strawther,https://en.wikipedia.org/wiki/Julian_Strawther,70514.0
Denver Nuggets,Hunter Tyson,https://en.wikipedia.org/wiki/Hunter_Tyson,45422.0
Denver Nuggets,Peyton Watson,https://en.wikipedia.org/wiki/Peyton_Watson,131709.0
Denver Nuggets,Russell Westbrook,https://en.wikipedia.org/wiki/Russell_Westbrook,1529687.0
Detroit Pistons,Malik Beasley,https://en.wikipedia.org/wiki/Malik_Beasley,207307.0
Detroit Pistons,Cade Cunningham,https://en.wikipedia.org/wiki/Cade_Cunningham,377350.0
Detroit Pistons,Jalen Duren,https://en.wikipedia.org/wiki/Jalen_Duren,165916.0
Detroit Pistons,Simone Fontecchio,https://en.wikipedia.org/wiki/Simone_Fontecchio,106579.0
Detroit Pistons,Tim Hardaway Jr.,https://en.wikipedia.org/wiki/Tim_Hardaway_Jr.,322357.0
Detroit Pistons,Ron Harper Jr.,https://en.wikipedia.org/wiki/Ron_Harper_Jr.,121037.0
Detroit Pistons,Tobias Harris,https://en.wikipedia.org/wiki/Tobias_Harris,356689.0
Detroit Pistons,Ron Holland,https://en.wikipedia.org/wiki/Ron_Holland_(basketball),219555.0
Detroit Pistons,Jaden Ivey,https://en.wikipedia.org/wiki/Jaden_Ivey,191353.0
Detroit Pistons,Daniss Jenkins,https://en.wikipedia.org/wiki/Daniss_Jenkins,7354.0
Detroit Pistons,Bobi Klintman,https://en.wikipedia.org/wiki/Bobi_Klintman,88835.0
Detroit Pistons,Paul Reed,https://en.wikipedia.org/wiki/Paul_Reed_(basketball),92866.0
Detroit Pistons,Marcus Sasser,https://en.wikipedia.org/wiki/Marcus_Sasser,60534.0
Detroit Pistons,Dennis Schröder,https://en.wikipedia.org/wiki/Dennis_Schr%C3%B6der,733735.0
Detroit Pistons,Tolu Smith,https://en.wikipedia.org/wiki/Tolu_Smith,3133.0
Detroit Pistons,Isaiah Stewart,https://en.wikipedia.org/wiki/Isaiah_Stewart,142934.0
Detroit Pistons,Ausar Thompson,https://en.wikipedia.org/wiki/Ausar_Thompson,178754.0
Detroit Pistons,Lindy Waters III,https://en.wikipedia.org/wiki/Lindy_Waters_III,257801.0
Golden State Warriors,Taran Armstrong,https://en.wikipedia.org/wiki/Taran_Armstrong,1989.0
Golden State Warriors,Jimmy Butler III,https://en.wikipedia.org/wiki/Jimmy_Butler,1205216.0
Golden State Warriors,Yuri Collins,https://en.wikipedia.org/wiki/Yuri_Collins,8880.0
Golden State Warriors,Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry,4915516.0
Golden State Warriors,Draymond Green,https://en.wikipedia.org/wiki/Draymond_Green,885688.0
Golden State Warriors,Buddy Hield,https://en.wikipedia.org/wiki/Buddy_Hield,628306.0
Golden State Warriors,Trayce Jackson-Davis,https://en.wikipedia.org/wiki/Trayce_Jackson-Davis,267835.0
Golden State Warriors,Braxton Key,https://en.wikipedia.org/wiki/Braxton_Key,21670.0
Golden State Warriors,Kevin Knox II,https://en.wikipedia.org/wiki/Kevin_Knox_II,193034.0
Golden State Warriors,Jonathan Kuminga,https://en.wikipedia.org/wiki/Jonathan_Kuminga,433191.0
Golden State Warriors,Kevon Looney,https://en.wikipedia.org/wiki/Kevon_Looney,253437.0
Golden State Warriors,Moses Moody,https://en.wikipedia.org/wiki/Moses_Moody,107797.0
Golden State Warriors,Gary Payton II,https://en.wikipedia.org/wiki/Gary_Payton_II,208138.0
Golden State Warriors,Brandin Podziemski,https://en.wikipedia.org/wiki/Brandin_Podziemski,424726.0
Golden State Warriors,Quinten Post,https://en.wikipedia.org/wiki/Quinten_Post,118066.0
Golden State Warriors,Jackson Rowe,https://en.wikipedia.org/wiki/Jackson_Rowe,4982.0
Golden State Warriors,Gui Santos,https://en.wikipedia.org/wiki/Gui_Santos,106515.0
Golden State Warriors,Pat Spencer,https://en.wikipedia.org/wiki/Pat_Spencer_(basketball),218111.0
Houston Rockets,Steven Adams,https://en.wikipedia.org/wiki/Steven_Adams,512197.0
Houston Rockets,Dillon Brooks,https://en.wikipedia.org/wiki/Dillon_Brooks,293911.0
Houston Rockets,N'Faly Dante,https://en.wikipedia.org/wiki/N%27Faly_Dante,48032.0
Houston Rockets,Tari Eason,https://en.wikipedia.org/wiki/Tari_Eason,79999.0
Houston Rockets,Jalen Green,https://en.wikipedia.org/wiki/Jalen_Green,685326.0
Houston Rockets,Jeff Green,https://en.wikipedia.org/wiki/Jeff_Green_(basketball),222699.0
Houston Rockets,Aaron Holiday,https://en.wikipedia.org/wiki/Aaron_Holiday,158667.0
Houston Rockets,Jock Landale,https://en.wikipedia.org/wiki/Jock_Landale,125776.0
Houston Rockets,Jack McVeigh,https://en.wikipedia.org/wiki/Jack_McVeigh,85332.0
