,ID,Player,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,MVP,ROY,DPOY,All_NBA,Champ,IG
678,679,Tidjane Salaün,2024-25,34,8,0,625,54,170,24,63,30,107,21,31,35,104,139,37,20,6,29,44,159,0.318,0.381,0.28,0.677,0.433,0.406,F,CHO,0,0,0,0,0,0.0
679,680,Luka Šamanić,2023-24,86,16,0,921,138,336,102,190,36,146,72,102,39,171,210,55,19,19,60,98,384,0.411,0.537,0.247,0.706,0.504,0.464,F,"SAS,UTA",0,0,0,0,0,0.0
680,681,Brandon Sampson,2018-19,14,2,0,214,28,60,17,31,11,29,4,6,3,13,16,10,8,3,12,19,71,0.467,0.548,0.379,0.667,0.567,0.558,G,CHI,0,0,0,0,0,0.0
681,682,Jermaine Samuels,2023-24,14,0,0,60,9,14,9,12,0,2,2,2,3,10,13,3,1,2,0,5,20,0.643,0.75,0.0,1.0,0.672,0.643,F,HOU,0,0,0,0,0,20651.0
682,683,Adama Sanogo,2024-25,13,0,0,87,18,34,18,34,0,0,8,12,24,18,42,1,1,0,6,6,44,0.529,0.529,,0.667,0.56,0.529,F,CHI,0,0,0,0,0,19703.0
683,684,Gui Santos,2024-25,40,1,0,346,42,88,24,39,18,49,19,23,30,52,82,32,10,5,16,45,121,0.477,0.615,0.367,0.826,0.617,0.58,F,GSW,0,0,0,0,0,556471.0
684,685,Dario Šarić,2024-25,490,230,0,11061,1823,4112,1186,2343,637,1769,823,983,677,1946,2623,939,278,97,720,984,5106,0.443,0.506,0.36,0.837,0.562,0.521,F-C,"DEN,GSW,MIN,OKC,PHI,PHO",0,0,0,0,0,0.0
685,686,Alex Sarr,2024-25,37,37,0,1000,161,402,106,229,55,173,54,84,70,178,248,82,24,57,55,92,431,0.4,0.463,0.318,0.643,0.491,0.469,F,WAS,0,0,0,0,0,124044.0
686,687,Olivier Sarr,2023-24,46,3,0,633,84,150,68,107,16,43,39,51,56,104,160,25,7,27,29,87,223,0.56,0.636,0.372,0.765,0.647,0.613,C,OKC,0,0,0,0,0,0.0
687,688,Marcus Sasser,2024-25,102,11,0,1783,291,661,171,344,120,317,69,78,22,140,162,299,65,16,118,143,771,0.44,0.497,0.379,0.885,0.554,0.531,G,DET,0,0,0,0,0,39249.0
688,689,Jordan Schakel,2022-23,6,0,0,36,2,13,0,6,2,7,2,2,2,6,8,1,2,0,1,1,8,0.154,0.0,0.286,1.0,0.288,0.231,F,WAS,0,0,0,0,0,0.0
689,690,Baylor Scheierman,2024-25,6,0,0,38,1,11,1,4,0,7,2,2,2,8,10,2,1,0,0,3,4,0.091,0.25,0.0,1.0,0.168,0.091,G,BOS,0,0,0,0,0,40561.0
690,691,Admiral Schofield,2023-24,131,3,0,1372,154,369,79,139,75,230,43,55,50,165,215,78,21,14,49,178,426,0.417,0.568,0.326,0.782,0.542,0.519,G-F,"ORL,WAS",0,0,0,0,0,0.0
691,692,Dennis Schröder,2024-25,806,414,0,22140,4170,9625,3157,6669,1013,2956,2002,2391,337,2000,2337,3917,667,115,1836,1672,11355,0.433,0.473,0.343,0.837,0.532,0.486,G,"ATL,BOS,BRK,DET,GSW,HOU,LAL,OKC,TOR",0,0,0,0,0,5600000.0
692,693,Jay Scrubb,2022-23,24,1,0,235,37,89,27,57,10,32,13,17,4,32,36,10,10,3,17,16,97,0.416,0.474,0.313,0.765,0.503,0.472,G-F,"LAC,ORL",0,0,0,0,0,0.0
693,694,Dereon Seabron,2023-24,11,0,0,67,6,18,5,16,1,2,5,6,2,6,8,5,2,1,0,5,18,0.333,0.313,0.5,0.833,0.436,0.361,G,NOP,0,0,0,0,0,0.0
694,695,Alperen Şengün,2024-25,251,189,0,6993,1536,2953,1441,2608,95,345,761,1077,703,1388,2091,996,261,220,603,797,3928,0.52,0.553,0.275,0.707,0.573,0.536,C-F,HOU,0,0,0,0,0,0.0
695,696,Brice Sensabaugh,2024-25,63,11,0,1152,198,456,106,199,92,257,67,73,36,151,187,99,30,9,95,86,555,0.434,0.533,0.358,0.918,0.569,0.535,F,UTA,0,0,0,0,0,44104.0
696,697,Collin Sexton,2024-25,383,311,0,11525,2624,5587,2049,4102,575,1485,1390,1655,334,749,1083,1396,299,51,888,861,7213,0.47,0.5,0.387,0.84,0.571,0.521,G,"CLE,UTA",0,0,0,0,0,0.0
