,ID,Player,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,MVP,ROY,DPOY,All_NBA,Champ,IG
697,698,Landry Shamet,2024-25,360,97,0,7765,1021,2501,359,766,662,1735,357,425,83,527,610,576,174,55,246,628,3061,0.408,0.469,0.382,0.84,0.569,0.541,G,"BRK,LAC,NYK,PHI,PHO,WAS",0,0,0,0,0,0.0
698,699,Terrence Shannon Jr.,2024-25,10,0,0,45,7,13,6,10,1,3,0,0,0,2,2,5,2,1,3,1,15,0.538,0.6,0.333,,0.577,0.577,G,MIN,0,0,0,0,0,0.0
699,700,Day'Ron Sharpe,2024-25,162,12,0,2229,411,753,396,694,15,59,161,256,400,482,882,171,63,100,166,321,998,0.546,0.571,0.254,0.629,0.576,0.556,C,BRK,0,0,0,0,0,80133.0
700,701,Shaedon Sharpe,2024-25,146,71,0,3912,713,1594,485,919,228,675,262,335,130,397,527,280,94,45,222,286,1916,0.447,0.528,0.338,0.782,0.55,0.519,G,POR,0,0,0,0,0,196076.0
701,702,Marial Shayok,2019-20,4,0,0,28,3,12,1,6,2,6,3,4,1,6,7,1,0,1,3,4,11,0.25,0.167,0.333,0.75,0.4,0.333,G,PHI,0,0,0,0,0,0.0
702,703,Jamal Shead,2024-25,38,0,0,608,80,186,50,104,30,82,15,22,10,30,40,128,23,4,55,66,205,0.43,0.481,0.366,0.682,0.524,0.511,G,TOR,0,0,0,0,0,33327.0
703,704,Ben Sheppard,2024-25,86,8,0,1403,148,370,62,116,86,254,32,36,32,130,162,84,48,10,25,154,414,0.4,0.534,0.339,0.889,0.536,0.516,G,IND,0,0,0,0,0,18262.0
704,705,Reed Sheppard,2024-25,32,0,0,360,39,124,19,51,20,73,5,6,10,30,40,37,17,10,19,28,103,0.315,0.373,0.274,0.833,0.407,0.395,G,HOU,0,0,0,0,0,185038.0
705,706,Pascal Siakam,2024-25,594,500,2,18521,4053,8143,3412,6243,641,1900,1866,2439,898,3061,3959,2144,538,346,1076,1619,10613,0.498,0.547,0.337,0.765,0.576,0.537,F-C,"IND,TOR",0,0,0,2,1,723278.0
706,707,Chris Silva,2022-23,70,0,0,532,67,110,66,106,1,4,58,82,80,109,189,36,10,28,51,131,193,0.609,0.623,0.25,0.707,0.661,0.614,F,"DAL,MIA,MIN,SAC",0,0,0,0,0,0.0
707,708,Ben Simmons,2024-25,362,344,3,11550,2046,3652,2041,3616,5,36,856,1449,621,2138,2759,2682,554,247,1133,1026,4953,0.56,0.564,0.139,0.591,0.577,0.561,G-F,"BRK,LAC,PHI",0,1,0,1,0,7405490.0
708,709,Kobi Simmons,2023-24,42,12,0,740,90,216,76,164,14,52,27,27,16,45,61,85,24,9,46,66,221,0.417,0.463,0.269,1.0,0.485,0.449,G,"CHO,CLE,MEM,TOR",0,0,0,0,0,0.0
709,710,Marko Simonovic,2022-23,16,0,0,55,6,22,4,13,2,9,9,13,6,6,12,0,1,1,2,11,23,0.273,0.308,0.222,0.692,0.415,0.318,C,CHI,0,0,0,0,0,0.0
710,711,Anfernee Simons,2024-25,357,181,0,9341,1835,4263,973,2012,862,2251,642,731,119,767,886,1116,174,45,570,663,5174,0.43,0.484,0.383,0.878,0.564,0.532,G,POR,0,0,0,0,0,212329.0
711,712,KJ Simpson,2024-25,12,0,0,173,18,61,13,32,5,29,10,15,12,9,21,20,9,2,12,15,51,0.295,0.406,0.172,0.667,0.377,0.336,G,CHO,0,0,0,0,0,0.0
712,713,Zavier Simpson,2023-24,11,4,0,335,36,106,30,81,6,25,8,9,6,35,41,55,12,7,20,26,86,0.34,0.37,0.24,0.889,0.391,0.368,G,"MEM,OKC",0,0,0,0,0,0.0
713,714,Jericho Sims,2024-25,172,37,0,2365,187,261,187,260,0,1,48,82,265,419,684,93,42,79,84,253,422,0.716,0.719,0.0,0.585,0.71,0.716,F,"MIL,NYK",0,0,0,0,0,91401.0
714,715,Deividas Sirvydis,2021-22,23,0,0,160,15,50,4,15,11,35,3,6,0,35,35,6,5,1,5,13,44,0.3,0.267,0.314,0.5,0.418,0.41,G-F,DET,0,0,0,0,0,0.0
715,716,Dmytro Skapintsev,2023-24,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0.0,0.0,C,NYK,0,0,0,0,0,0.0
716,717,Jalen Slawson,2023-24,12,0,0,37,4,6,4,4,0,2,0,0,1,6,7,2,1,1,2,8,8,0.667,1.0,0.0,,0.667,0.667,F,SAC,0,0,0,0,0,0.0
717,718,Alen Smailagić,2020-21,29,1,0,223,31,67,24,44,7,23,18,25,16,27,43,17,6,9,16,25,87,0.463,0.545,0.304,0.72,0.558,0.515,F,GSW,0,0,0,0,0,0.0
718,719,Javonte Smart,2023-24,18,1,0,201,19,60,11,33,8,27,5,6,5,19,24,16,6,3,11,12,51,0.317,0.333,0.296,0.833,0.407,0.383,G,"MIA,MIL,PHI",0,0,0,0,0,52500.0
719,720,Marcus Smart,2024-25,619,386,0,18428,2220,5728,1238,2688,982,3040,1173,1508,501,1652,2153,2855,978,225,1178,1588,6595,0.388,0.461,0.323,0.778,0.516,0.473,G,"BOS,MEM,WAS",0,0,1,0,0,819290.0
720,721,Dennis Smith Jr.,2023-24,326,152,0,7601,1224,3009,954,2103,270,906,442,656,212,755,967,1381,377,109,633,678,3160,0.407,0.454,0.298,0.674,0.479,0.452,G,"BRK,CHO,DAL,DET,NYK,POR",0,0,0,0,0,0.0
721,722,Dru Smith,2024-25,38,2,0,557,64,139,36,73,28,66,15,18,20,54,74,59,40,13,25,65,171,0.46,0.493,0.424,0.833,0.582,0.561,G,"BRK,MIA",0,0,0,0,0,10845.0
722,723,Ish Smith,2023-24,805,172,0,15494,2452,5714,2145,4769,307,945,501,741,279,1641,1920,3044,543,197,988,1031,5712,0.429,0.45,0.325,0.676,0.473,0.456,G,"CHO,DEN,DET,GSW,HOU,MEM,MIL,NOP,OKC,ORL,PHI,PHO,WAS",0,0,0,0,1,0.0
723,724,Jabari Smith Jr.,2024-25,188,188,0,5896,878,2038,564,1109,314,929,377,466,320,1080,1400,255,107,167,223,502,2447,0.431,0.509,0.338,0.809,0.545,0.508,F,HOU,0,0,0,0,0,0.0
724,725,Jalen Smith,2024-25,246,55,0,3999,789,1548,586,941,203,607,307,409,406,877,1283,190,66,172,191,451,2088,0.51,0.623,0.334,0.751,0.604,0.575,F,"CHI,IND,PHO",0,0,0,0,0,57174.0
725,726,Nick Smith Jr.,2024-25,71,1,0,961,150,387,66,185,84,202,14,17,20,83,103,80,16,9,49,66,398,0.388,0.357,0.416,0.824,0.504,0.496,G,CHO,0,0,0,0,0,0.0
726,727,Terquavion Smith,2023-24,16,0,0,84,18,46,5,11,13,35,3,5,0,4,4,12,8,0,7,8,52,0.391,0.455,0.371,0.6,0.539,0.533,G,PHI,0,0,0,0,0,0.0
727,728,Tyler Smith,2024-25,11,0,0,38,9,14,6,6,3,8,1,2,1,9,10,1,0,3,3,4,22,0.643,1.0,0.375,0.5,0.739,0.75,F,MIL,0,0,0,0,0,40994.0
728,729,Zhaire Smith,2019-20,13,2,0,143,17,45,11,26,6,19,8,12,3,12,15,12,5,2,8,12,48,0.378,0.423,0.316,0.667,0.477,0.444,G,PHI,0,0,0,0,0,0.0
729,730,Xavier Sneed,2022-23,13,0,0,87,7,20,3,6,4,14,4,4,2,9,11,6,0,1,3,9,22,0.35,0.5,0.286,1.0,0.506,0.45,F,"CHO,MEM,UTA",0,0,0,0,0,0.0
730,731,Jeremy Sochan,2024-25,152,145,0,4288,706,1547,592,1147,114,400,243,330,291,657,948,448,125,77,277,358,1769,0.456,0.516,0.285,0.736,0.523,0.493,F-G,SAS,0,0,0,0,0,423890.0
731,732,Ray Spalding,2020-21,16,3,0,167,27,51,27,47,0,4,4,14,17,35,52,5,9,10,12,26,58,0.529,0.574,0.0,0.286,0.507,0.529,F,"DAL,HOU,PHO",0,0,0,0,0,0.0
732,733,Omari Spellman,2019-20,95,14,0,1691,225,539,138,301,87,238,105,137,149,264,413,94,59,49,85,130,642,0.417,0.458,0.366,0.766,0.536,0.498,F,"ATL,GSW",0,0,0,0,0,63600.0
733,734,Cam Spencer,2024-25,10,0,0,121,13,30,8,14,5,16,9,9,5,12,17,16,3,1,5,11,40,0.433,0.571,0.313,1.0,0.589,0.517,G,MEM,0,0,0,0,0,0.0
734,735,Pat Spencer,2024-25,22,0,0,134,18,41,17,32,1,9,7,10,9,15,24,29,8,2,10,8,44,0.439,0.531,0.111,0.7,0.485,0.451,G,GSW,0,0,0,0,0,0.0
735,736,Jaden Springer,2024-25,85,4,0,672,81,198,69,141,12,57,53,67,44,64,108,58,47,20,40,93,227,0.409,0.489,0.211,0.791,0.499,0.439,G,"BOS,PHI,UTA",0,0,0,0,1,173264.0
736,737,Cassius Stanley,2021-22,33,1,0,248,32,89,25,59,7,30,17,19,13,26,39,5,6,4,7,31,88,0.36,0.424,0.233,0.895,0.452,0.399,G,"DET,IND",0,0,0,0,0,390000.0
737,738,Nik Stauskas,2021-22,343,63,0,6701,770,1981,370,850,400,1131,350,431,78,613,691,515,139,80,340,426,2290,0.389,0.435,0.354,0.812,0.527,0.49,G,"BOS,BRK,CLE,MIA,PHI,POR,SAC",0,0,0,0,0,0.0
738,739,Lamar Stevens,2023-24,203,41,0,3193,455,983,389,752,66,231,172,237,155,439,594,130,98,72,115,283,1148,0.463,0.517,0.286,0.726,0.528,0.496,F,"BOS,CLE,MEM",0,0,0,0,1,0.0
739,740,Isaiah Stewart,2024-25,273,180,0,6904,944,1891,766,1369,178,522,345,467,655,1347,2002,352,116,285,320,725,2411,0.499,0.56,0.341,0.739,0.575,0.546,F-C,DET,0,0,0,0,0,0.0
740,741,Julian Strawther,2024-25,92,0,0,1469,220,535,116,228,104,307,75,93,17,135,152,105,45,19,58,158,619,0.411,0.509,0.339,0.806,0.537,0.508,F,DEN,0,0,0,0,0,58410.0
741,742,Max Strus,2024-25,272,119,0,6914,998,2357,376,654,622,1703,218,269,156,733,889,608,149,63,262,518,2836,0.423,0.575,0.365,0.81,0.573,0.555,G,"CHI,CLE,MIA",0,0,0,0,0,161006.0
742,743,Jalen Suggs,2024-25,210,173,0,5565,914,2179,579,1159,335,1020,427,545,152,548,700,695,282,126,468,560,2590,0.419,0.5,0.328,0.783,0.535,0.496,G,ORL,0,0,0,0,0,467320.0
743,744,Edmond Sumner,2022-23,161,41,0,2256,356,758,269,503,87,255,198,244,51,193,244,182,91,34,133,242,997,0.47,0.535,0.341,0.811,0.576,0.527,G,"BRK,IND",0,0,0,0,0,0.0
744,745,Cole Swider,2024-25,27,0,0,141,18,52,5,9,13,43,2,2,2,14,16,10,1,1,8,8,51,0.346,0.556,0.302,1.0,0.482,0.471,F,"DET,LAL,MIA",0,0,0,0,0,49725.0
745,746,Craig Sword,2021-22,3,0,0,19,3,4,3,3,0,1,0,0,0,0,0,1,4,0,1,7,6,0.75,1.0,0.0,,0.75,0.75,G,WAS,0,0,0,0,0,0.0
746,747,Keifer Sykes,2021-22,32,11,0,566,69,190,42,100,27,90,15,17,8,37,45,62,12,4,33,51,180,0.363,0.42,0.3,0.882,0.456,0.434,G,IND,0,0,0,0,0,0.0
747,748,Jae'Sean Tate,2024-25,267,152,0,6054,927,1877,762,1340,165,537,324,464,390,772,1162,566,233,101,331,794,2343,0.494,0.569,0.307,0.698,0.563,0.538,F,HOU,0,0,0,0,0,0.0
748,749,Jayson Tatum,2024-25,552,552,5,18985,4488,9751,3049,5898,1439,3853,2516,2995,489,3542,4031,2022,614,365,1288,1167,12931,0.46,0.517,0.373,0.84,0.584,0.534,F,BOS,0,0,0,4,1,7292211.0
749,750,Terry Taylor,2023-24,95,9,0,1166,194,334,175,268,19,66,46,67,139,117,256,61,22,16,39,104,453,0.581,0.653,0.288,0.687,0.623,0.609,G-F,"CHI,IND",0,0,0,0,0,0.0
750,751,Garrett Temple,2024-25,756,289,0,15287,1619,4040,904,1958,715,2082,585,787,311,1381,1692,1238,598,240,662,1348,4538,0.401,0.462,0.343,0.743,0.517,0.489,G,"BRK,CHA,CHI,HOU,LAC,MEM,MIL,NOP,SAC,SAS,TOR,WAS",0,0,0,0,0,59230.0
751,752,Dalen Terry,2024-25,137,3,0,1409,154,346,115,202,39,144,66,102,61,145,206,145,59,32,73,167,413,0.445,0.569,0.271,0.647,0.528,0.501,G,CHI,0,0,0,0,0,1815.0
752,753,Tyrell Terry,2021-22,13,0,0,59,6,17,6,10,0,7,1,3,0,6,6,6,5,0,2,3,13,0.353,0.6,0.0,0.333,0.355,0.353,G,"DAL,MEM",0,0,0,0,0,0.0
753,754,Daniel Theis,2024-25,406,159,0,7637,1150,2135,955,1539,195,596,399,550,598,1320,1918,501,187,337,321,1006,2894,0.539,0.621,0.327,0.725,0.609,0.584,C,"BOS,CHI,HOU,IND,LAC,NOP",0,0,0,0,0,179693.0
754,755,Brodric Thomas,2021-22,44,1,0,459,47,126,29,58,18,68,34,51,10,53,63,41,16,11,28,47,146,0.373,0.5,0.265,0.667,0.492,0.444,G,"BOS,CLE,HOU",0,0,0,0,0,0.0
755,756,Cam Thomas,2024-25,209,74,0,4813,1096,2486,800,1639,296,847,637,742,62,476,538,412,112,32,293,295,3125,0.441,0.488,0.349,0.858,0.556,0.5,G,BRK,0,0,0,0,0,250975.0
756,757,Isaiah Thomas,2023-24,556,362,2,15582,3170,7301,2126,4421,1044,2880,2339,2682,284,1037,1321,2641,472,61,1242,1146,9723,0.434,0.481,0.363,0.872,0.573,0.506,G,"BOS,CHO,CLE,DAL,DEN,LAL,NOP,PHO,SAC,WAS",0,0,0,1,0,0.0
757,758,Khyri Thomas,2020-21,39,2,0,409,59,152,35,76,24,76,18,24,12,27,39,36,19,11,13,39,160,0.388,0.461,0.316,0.75,0.492,0.467,G,"DET,HOU",0,0,0,0,0,0.0
758,759,Amen Thompson,2024-25,100,34,0,2513,426,780,406,674,20,106,205,298,248,458,706,255,126,82,162,225,1077,0.546,0.602,0.189,0.688,0.591,0.559,G,HOU,0,0,0,0,0,348779.0
759,760,Ausar Thompson,2024-25,83,47,0,1959,295,607,267,466,28,141,89,153,157,339,496,155,97,65,111,228,707,0.486,0.573,0.199,0.582,0.524,0.509,G,DET,0,0,0,0,0,298762.0
760,761,Klay Thompson,2024-25,830,779,5,26861,5976,13225,3385,6925,2591,6300,1496,1741,384,2537,2921,1916,711,429,1386,1670,16039,0.452,0.489,0.411,0.859,0.573,0.55,G-F,"DAL,GSW",0,0,0,2,4,17043028.0
761,762,Tristan Thompson,2024-25,796,478,0,20221,2745,5272,2735,5232,10,40,1293,2175,2487,3850,6337,782,376,520,860,1724,6793,0.521,0.523,0.25,0.594,0.545,0.522,F-C,"BOS,CHI,CLE,IND,SAC",0,0,0,0,1,3826307.0
762,763,JT Thor,2024-25,172,11,0,2045,208,488,131,253,77,235,63,95,93,254,347,84,43,64,73,156,556,0.426,0.518,0.328,0.663,0.525,0.505,F,"CHO,CLE",0,0,0,0,0,0.0
763,764,Matisse Thybulle,2023-24,332,119,0,6957,600,1378,322,555,278,823,108,159,186,472,658,360,510,270,186,632,1586,0.435,0.58,0.338,0.679,0.548,0.536,G,"PHI,POR",0,0,0,0,0,328244.0
764,765,Killian Tillie,2021-22,54,4,0,643,62,184,25,65,37,119,14,19,27,57,84,30,28,23,15,78,175,0.337,0.385,0.311,0.737,0.455,0.438,F,MEM,0,0,0,0,0,0.0
765,766,Xavier Tillman Sr.,2024-25,251,59,0,4116,584,1136,524,907,60,229,152,265,339,631,970,317,210,126,165,364,1380,0.514,0.578,0.262,0.574,0.551,0.54,F,"BOS,MEM",0,0,0,0,1,0.0
766,767,Isaiah Todd,2022-23,18,1,0,135,10,45,5,19,5,26,4,8,5,19,24,8,5,2,6,8,29,0.222,0.263,0.192,0.5,0.299,0.278,F,WAS,0,0,0,0,0,0.0
767,768,Jacob Toppin,2024-25,22,0,0,78,8,18,7,12,1,6,2,2,5,11,16,7,1,1,3,5,19,0.444,0.583,0.167,1.0,0.503,0.472,F,NYK,0,0,0,0,0,60304.0
768,769,Obi Toppin,2024-25,323,43,0,5467,1029,1967,718,1080,311,887,273,353,237,835,1072,365,142,118,213,426,2642,0.523,0.665,0.351,0.773,0.622,0.602,F,"IND,NYK",0,0,0,0,0,299638.0
769,770,Juan Toscano-Anderson,2023-24,202,37,0,3126,332,662,250,413,82,249,84,130,98,502,600,372,119,59,181,347,830,0.502,0.605,0.329,0.646,0.577,0.563,F,"GSW,LAL,SAC,UTA",0,0,0,0,1,0.0
770,771,Karl-Anthony Towns,2024-25,611,611,4,20773,5165,9834,4107,7197,1058,2637,2698,3218,1704,5042,6746,1940,489,752,1653,2084,14086,0.525,0.571,0.401,0.838,0.626,0.579,C-F,"MIN,NYK",0,1,0,2,0,4357045.0
771,772,Armel Traoré,2024-25,8,0,0,61,5,18,5,11,0,7,2,7,1,13,14,1,4,2,2,6,12,0.278,0.455,0.0,0.286,0.285,0.278,F,LAL,0,0,0,0,0,0.0
772,773,Luke Travers,2024-25,6,0,0,42,3,7,3,4,0,3,2,2,1,5,6,5,1,1,2,3,8,0.429,0.75,0.0,1.0,0.508,0.429,G,CLE,0,0,0,0,0,24480.0
773,774,Gary Trent Jr.,2024-25,377,208,0,10687,1867,4418,957,2075,910,2343,572,695,140,757,897,545,446,72,265,600,5216,0.423,0.461,0.388,0.823,0.552,0.526,G,"MIL,POR,TOR",0,0,0,0,0,0.0
774,775,Oscar Tshiebwe,2024-25,11,0,0,88,14,26,14,26,0,0,12,16,13,23,36,2,6,1,1,13,40,0.538,0.538,,0.75,0.605,0.538,F,"IND,UTA",0,0,0,0,0,92640.0
775,776,P.J. Tucker,2023-24,883,666,0,24935,2128,5011,1251,2613,877,2398,721,961,1300,3470,4770,1225,942,262,815,2144,5854,0.425,0.479,0.366,0.75,0.539,0.512,F,"HOU,LAC,MIA,MIL,PHI,PHO,TOR",0,0,0,0,1,1032921.0
776,777,Rayjon Tucker,2021-22,39,0,0,300,35,70,26,41,9,29,38,49,7,32,39,21,7,1,13,23,117,0.5,0.634,0.31,0.776,0.639,0.564,F,"DEN,MIL,PHI,UTA",0,0,0,0,0,0.0
777,778,Myles Turner,2024-25,610,577,0,17527,3170,6329,2488,4432,682,1897,1507,1959,872,3288,4160,763,419,1347,866,1813,8529,0.501,0.561,0.36,0.769,0.593,0.555,C-F,IND,0,0,0,0,0,328037.0
778,779,Hunter Tyson,2024-25,49,0,0,283,29,72,15,27,14,45,14,17,11,42,53,14,5,4,11,41,86,0.403,0.556,0.311,0.824,0.541,0.5,F,DEN,0,0,0,0,0,18052.0
779,780,Jaylon Tyson,2024-25,24,1,0,169,19,47,14,30,5,17,4,8,15,26,41,16,5,0,11,24,47,0.404,0.467,0.294,0.5,0.465,0.457,G,CLE,0,0,0,0,0,26395.0
780,781,Stanley Umude,2024-25,40,2,0,357,39,98,13,36,26,62,31,36,11,53,64,13,11,10,15,45,135,0.398,0.361,0.419,0.861,0.593,0.531,G,"DET,MIL",0,0,0,0,0,12946.0
781,782,Jonas Valančiūnas,2024-25,897,835,0,22843,4749,8466,4514,7782,235,684,2184,2758,2464,5969,8433,1228,363,850,1487,2522,11917,0.561,0.58,0.344,0.792,0.616,0.575,C,"MEM,NOP,SAC,TOR,WAS",0,0,0,0,1,262000.0
782,783,Denzel Valentine,2021-22,256,45,0,4817,680,1728,319,724,361,1004,74,94,101,756,857,466,159,31,228,412,1795,0.394,0.441,0.36,0.787,0.507,0.498,G,"CHI,CLE,UTA",0,0,0,0,0,0.0
783,784,Jarred Vanderbilt,2023-24,273,168,0,5594,675,1189,635,1051,40,138,271,420,554,1190,1744,395,291,120,266,551,1661,0.568,0.604,0.29,0.645,0.605,0.585,F,"DEN,LAL,MIN,UTA",0,0,0,0,0,420988.0
784,785,Fred VanVleet,2024-25,528,379,1,16436,2673,6636,1350,3077,1323,3559,1255,1452,233,1584,1817,3016,726,247,880,1159,7924,0.403,0.439,0.372,0.864,0.545,0.502,G,"HOU,TOR",0,0,0,0,1,635917.0
785,786,Devin Vassell,2024-25,265,148,0,7190,1366,3079,849,1676,517,1403,413,513,123,864,987,686,266,111,289,403,3662,0.444,0.507,0.368,0.805,0.554,0.528,G-F,SAS,0,0,0,0,0,101712.0
786,787,Sasha Vezenkov,2023-24,42,0,0,511,84,191,39,71,45,120,12,15,30,66,96,19,20,7,12,42,225,0.44,0.549,0.375,0.8,0.569,0.558,F,SAC,0,0,0,0,0,118622.0
787,788,Gabe Vincent,2024-25,242,73,0,5009,618,1565,294,581,324,984,138,167,74,313,387,511,187,27,254,485,1698,0.395,0.506,0.329,0.826,0.518,0.498,G,"LAL,MIA",0,0,0,0,0,158806.0
788,789,Noah Vonleh,2022-23,362,172,0,5854,651,1417,558,1114,93,303,290,419,488,1302,1790,264,139,144,278,645,1685,0.459,0.501,0.307,0.692,0.526,0.492,F-C,"BOS,BRK,CHI,CHO,DEN,MIN,NYK,POR",0,0,0,0,0,0.0
789,790,Nikola Vučević,2024-25,941,878,2,29581,6932,13926,6081,11473,851,2453,1516,1969,2356,7517,9873,2698,794,819,1616,2294,16231,0.498,0.53,0.347,0.77,0.549,0.528,C,"CHI,ORL,PHI",0,0,0,0,0,0.0
790,791,Tristan Vukcevic,2024-25,14,4,0,163,30,71,20,32,10,39,17,22,7,30,37,13,5,8,10,30,87,0.423,0.625,0.256,0.773,0.539,0.493,F-C,WAS,0,0,0,0,0,62369.0
791,792,Dean Wade,2024-25,256,115,0,4992,477,1110,173,285,304,825,97,143,159,756,915,254,161,93,97,414,1355,0.43,0.607,0.368,0.678,0.578,0.567,F,CLE,0,0,0,0,0,39820.0
792,793,Franz Wagner,2024-25,256,256,0,8204,1746,3662,1375,2538,371,1124,850,995,249,957,1206,925,264,91,484,573,4713,0.477,0.542,0.33,0.854,0.575,0.527,G-F,ORL,0,0,0,0,0,252061.0
793,794,Moritz Wagner,2024-25,363,57,0,6051,1187,2259,927,1457,260,802,694,860,368,1068,1436,439,185,109,418,791,3328,0.525,0.636,0.324,0.807,0.631,0.583,F-C,"BOS,LAL,ORL,WAS",0,0,0,0,0,270000.0
794,795,Ish Wainright,2023-24,116,2,0,1336,132,355,49,103,83,252,35,45,75,132,207,69,62,29,37,174,382,0.372,0.476,0.329,0.778,0.51,0.489,F,"PHO,POR",0,0,0,0,0,0.0
795,796,Jabari Walker,2024-25,158,24,0,2629,360,799,298,576,62,223,176,234,224,503,727,119,64,38,111,277,958,0.451,0.517,0.278,0.752,0.531,0.489,F,POR,0,0,0,0,0,30840.0
796,797,Jarace Walker,2024-25,76,1,0,1080,146,323,81,160,65,163,42,62,29,182,211,102,57,27,66,104,399,0.452,0.506,0.399,0.677,0.57,0.553,F,IND,0,0,0,0,0,96134.0
797,798,Lonnie Walker IV,2023-24,322,88,0,6548,1179,2795,727,1526,452,1269,361,454,82,646,728,468,174,88,281,426,3171,0.422,0.476,0.356,0.795,0.529,0.503,G,"BRK,LAL,PHI,SAS",0,0,0,0,0,427000.0
798,799,M.J. Walker,2021-22,2,0,0,8,0,4,0,2,0,2,0,0,0,1,1,1,2,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,G,PHO,0,0,0,0,0,0.0
799,800,John Wall,2022-23,647,604,5,22588,4373,10171,3722,8150,651,2021,2691,3468,361,2343,2704,5735,1045,439,2412,1394,12088,0.43,0.457,0.322,0.776,0.517,0.462,G,"HOU,LAC,WAS",0,0,0,1,0,4400000.0
800,801,Cason Wallace,2024-25,123,41,0,2823,342,721,202,363,140,358,43,55,96,234,330,223,146,62,72,216,867,0.474,0.556,0.391,0.782,0.582,0.571,G,OKC,0,0,0,0,0,80067.0
801,802,Keaton Wallace,2024-25,17,2,0,286,39,89,22,45,17,44,7,7,3,25,28,36,17,6,18,18,102,0.438,0.489,0.386,1.0,0.554,0.534,G,ATL,0,0,0,0,0,7403.0
802,803,Jordan Walsh,2024-25,37,2,0,317,22,62,12,21,10,41,6,12,16,37,53,13,12,9,10,28,60,0.355,0.571,0.244,0.5,0.446,0.435,G-F,BOS,0,0,0,0,1,178482.0
803,804,Ja'Kobe Walter,2024-25,24,7,0,455,65,165,41,84,24,81,24,36,20,38,58,34,12,6,21,46,178,0.394,0.488,0.296,0.667,0.492,0.467,G,TOR,0,0,0,0,0,51702.0
804,805,Kel'el Ware,2024-25,26,0,0,364,78,135,64,100,14,35,19,27,25,79,104,15,12,24,13,30,189,0.578,0.64,0.4,0.704,0.643,0.63,C,MIA,0,0,0,0,0,72918.0
805,806,T.J. Warren,2023-24,385,236,0,10365,2274,4502,2003,3730,271,772,678,869,480,1035,1515,446,353,181,365,867,5497,0.505,0.537,0.351,0.78,0.563,0.535,F,"BRK,IND,MIN,PHO",0,0,0,0,0,0.0
806,807,Duane Washington Jr.,2022-23,79,10,0,1362,267,683,146,357,121,326,62,85,6,113,119,148,32,7,91,89,717,0.391,0.409,0.371,0.729,0.498,0.48,G,"IND,PHO",0,0,0,0,0,0.0
807,808,P.J. Washington,2024-25,368,298,0,11220,1772,3976,1129,2170,643,1806,556,783,440,1672,2112,824,359,357,571,921,4743,0.446,0.52,0.356,0.71,0.549,0.527,F,"CHO,DAL",0,0,0,0,0,851498.0
808,809,TyTy Washington Jr.,2024-25,46,2,0,517,67,186,44,97,23,89,10,18,3,48,51,56,20,2,17,30,167,0.36,0.454,0.258,0.556,0.431,0.422,G,"HOU,MIL,PHO",0,0,0,0,0,0.0
809,810,Yuta Watanabe,2023-24,213,9,0,2839,320,751,167,338,153,413,102,151,106,391,497,137,83,61,87,234,895,0.426,0.494,0.37,0.675,0.547,0.528,F,"BRK,MEM,PHO,TOR",0,0,0,0,0,589000.0
810,811,Lindy Waters III,2024-25,137,10,0,1885,262,646,69,118,193,528,30,38,44,234,278,113,58,35,43,146,747,0.406,0.585,0.366,0.789,0.564,0.555,G,"DET,GSW,OKC",0,0,0,0,0,63006.0
811,812,Tremont Waters,2021-22,40,4,0,407,52,147,31,76,21,71,24,25,5,32,37,85,30,3,46,34,149,0.354,0.408,0.296,0.96,0.472,0.425,G,"BOS,TOR,WAS",0,0,0,0,0,0.0
812,813,Trendon Watford,2024-25,186,24,0,3116,522,980,453,784,69,196,250,326,155,512,667,307,85,63,194,370,1363,0.533,0.578,0.352,0.767,0.607,0.568,F,"BRK,POR",0,0,0,0,0,73697.0
813,814,Peyton Watson,2024-25,145,18,0,2700,367,777,286,523,81,254,155,221,98,342,440,158,79,149,105,232,970,0.472,0.547,0.319,0.701,0.555,0.524,G-F,DEN,0,0,0,0,1,87993.0
814,815,Quinndary Weatherspoon,2021-22,42,0,0,272,33,73,30,57,3,16,19,23,6,26,32,24,12,4,18,41,88,0.452,0.526,0.188,0.826,0.529,0.473,G,"GSW,SAS",0,0,0,0,1,0.0
815,816,Jaylen Wells,2024-25,42,37,0,1097,175,397,92,183,83,214,63,77,44,96,140,69,24,5,45,76,496,0.441,0.503,0.388,0.818,0.576,0.545,F,MEM,0,0,0,0,0,31962.0
816,817,Thomas Welsh,2018-19,11,0,0,36,7,13,4,6,3,7,1,2,0,4,4,5,0,0,1,3,18,0.538,0.667,0.429,0.5,0.648,0.654,C,DEN,0,0,0,0,0,0.0
817,818,Victor Wembanyama,2024-25,107,107,0,3299,873,1867,629,1145,244,722,412,509,225,917,1142,407,127,398,384,232,2402,0.468,0.549,0.338,0.809,0.574,0.533,C-F,SAS,0,1,0,0,0,4396476.0
