Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
164,Baltimore Ravens,89871.0,49,18,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,0,Daniel Faalele,98.43205985521448,143.1614385838242,50.21,60.394844035033934,25.1
165,Baltimore Ravens,90579.0,49,49,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0,-28,0,C,0,0,0,0,0,0,0,Tyler Linderbaum,98.364198895344,142.13334548874948,49.42,60.27741379885485,24.71
166,Baltimore Ravens,54851.0,17,14,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OT,0,0,0,0,0,0,0,Roger Rosengarten,98.89838455284924,150.41813695794866,59.76,61.40589127646153,29.88
167,Baltimore Ravens,94645.0,104,104,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,LT,0,0,0,0,0,0,0,Ronnie Stanley,98.23411224568429,140.1819332523203,36.6,37.55628026578562,18.3
168,Baltimore Ravens,33463.0,15,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Andrew Vorhees,99.19201389285092,155.16414585097704,65.98,61.67869517532044,32.99
169,Baltimore Ravens,28889.0,49,18,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,3.5,56,46,9,11,0,0,3,0,0,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Travis Jones,99.22754696518616,155.7479862684542,51.15,60.58542560705011,25.58
170,Baltimore Ravens,42124.0,76,64,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,28.0,119,77,40,66,0,0,6,0,0,0,2,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Nnamdi Madubuike,99.0367577404087,152.63734267651316,42.45,57.460831512925246,21.22
171,Baltimore Ravens,57640.0,99,59,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,9.5,136,102,19,25,1,0,6,0,6,0,3,0,0.0,0,8,0,NT,0,0,0,0,0,0,0,Michael Pierce,98.77060243732572,148.39588300859236,43.2,57.940431020219904,21.6
172,Baltimore Ravens,3801.0,70,21,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,6.0,52,54,8,14,0,0,8,0,2,0,1,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Broderick Washington Jr.,99.52995818101896,160.8017388720743,47.34,59.81090020221542,23.67
173,Baltimore Ravens,31998.0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2,2,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Adisa Isaac,99.21909348849108,155.60889990036972,76.63,61.92776721271743,38.32
174,Baltimore Ravens,4865.0,8,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,William Kwenkeu,99.5680825884216,161.44977249111136,76.39,61.9212422358953,38.2
175,Baltimore Ravens,60056.0,18,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.0,11,5,2,8,0,0,0,0,0,0,2,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,David Ojabo,98.85387120530848,149.7107428530052,63.32,61.58251628860134,31.66
176,Baltimore Ravens,56330.0,62,23,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,23.0,98,40,25,61,0,0,1,0,3,0,7,0,0.0,0,0,0,DE,0,0,0,0,0,0,0,Odafe Oweh,98.87672868090958,150.07359435912008,47.9,59.9242289337706,23.95
177,Baltimore Ravens,28099.0,34,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.5,26,32,6,13,0,0,1,0,0,0,0,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Tavius Robinson,99.25346411763456,156.17513876366047,61.37,61.5030110820161,30.68
178,Baltimore Ravens,40667.0,32,13,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2.5,50,36,7,7,0,0,4,0,2,0,0,0,0.0,0,10,0,LB,0,0,0,0,0,0,0,Trenton Simpson,99.06913262937816,153.16101349954158,55.4,61.09968433606303,27.7
179,Baltimore Ravens,274622.0,110,108,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,21.5,616,389,63,29,10,1,35,1,2,0,3,0,0.0,0,162,0,RILB,0,0,0,0,0,3,0,Roquan Smith,96.04671260049103,110.90111065805932,21.19,10.794249906380339,10.6
