Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
13,Arizona Cardinals,184723.0,29,25,0,0,0.0,0,0,0,0.0,0,0.0,0,1,7,7.0,0,0.2,129,85,1113,13.1,7,38.4,0,0.0,1,0,44,154.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,1120,0,WR,0,0,0,0,0,0,0,Michael Wilson,96.95239384889992,122.25334356635312,49.06,59.68048859937709,24.53
14,Arizona Cardinals,23555.0,28,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,43,34,335,9.9,3,12.0,0,0.0,0,0,18,51.5,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0,335,0,TE,0,0,0,0,0,0,0,Elijah Higgins,99.24462359200068,156.02930957521252,50.29,59.79864318293398,25.14
15,Arizona Cardinals,170505.0,49,41,0,0,0.0,0,0,0,0.0,0,0.0,0,1,2,2.0,1,0.0,292,221,2236,10.1,6,45.6,0,0.0,0,0,48,271.8,0.0,7,1,0,0,0,0,0,2,3,1,0,0,0.0,0,2238,0,TE,0,0,0,0,0,0,0,Trey McBride,97.06380424946845,123.722172918002,45.31,59.09098010809109,22.66
16,Arizona Cardinals,28861.0,17,9,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,7,6,37,6.2,0,2.2,0,0.0,0,0,0,3.7,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,37,0,TE,0,0,0,0,0,0,0,Tip Reiman,99.21741806907656,155.58134792179578,65.13,61.161997279154264,32.56
17,Arizona Cardinals,7921.0,3,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,TE,0,0,0,0,0,0,0,Travis Vokolek,99.52985879954406,160.80005282540785,89.11,61.50914019488545,44.56
18,Arizona Cardinals,20285.0,15,5,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Isaiah Adams,99.35903043620678,157.92650939713218,66.32,61.200418402527504,33.16
19,Arizona Cardinals,8765.0,5,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,G,0,0,0,0,0,0,0,McClendon Curtis,99.5184163241736,160.60603861756127,79.73,61.44784379048089,39.86
20,Arizona Cardinals,29668.0,65,40,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,-16,0,C,0,0,0,0,0,0,0,Hjalte Froholdt,99.15083410737728,154.49011502915488,54.51,60.29656506528407,27.26
21,Arizona Cardinals,7533.0,13,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Jon Gaines,99.53206369715244,160.8374637378901,71.18,61.3123271659244,35.59
22,Arizona Cardinals,56109.0,31,31,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Paris Johnson,98.84537037931769,149.57600774548018,55.02,60.35191442129131,27.51
