Unnamed: 0,Team,Pageviews,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MVP,ROY,DPOY,All_NBA,Champ,IG,Player,Team_Pageviews,MP_PerGame,FG_PerGame,FGA_PerGame,2P_PerGame,2PA_PerGame,3P_PerGame,3PA_PerGame,FT_PerGame,FTA_PerGame,ORB_PerGame,DRB_PerGame,TRB_PerGame,AST_PerGame,STL_PerGame,BLK_PerGame,TOV_PerGame,PF_PerGame,PTS_PerGame,Obscurity_Score,Obscurity_Score_Scaled,visibility_score,performance_score,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
32,Boston Celtics,165415.0,458,342,0,12862,2012,4491,1200,2262,812,2229,962,1129,266,1375,1641,1869,370,415,629,977,5798,0.448,0.531,0.364,0.852,0.581,0.538,0,0,0,0,1,410371.0,Derrick White,1932688,28.08296943231441,4.393013100436681,9.805676855895197,2.6200873362445414,4.93886462882096,1.7729257641921397,4.866812227074236,2.1004366812227078,2.465065502183406,0.5807860262008734,3.002183406113537,3.5829694323144103,4.080786026200873,0.8078602620087336,0.906113537117904,1.3733624454148472,2.133187772925764,12.65938864628821,91.30061863502569,65.64934041072091,0.1603911589751311,0.3277042446817148,27.51,62.54,31.27
33,Brooklyn Nets,45226.0,15,0,0,138,14,36,10,23,4,13,4,7,2,7,9,18,7,2,8,5,36,0.389,0.435,0.308,0.571,0.461,0.444,0,0,0,0,0,20802.0,Reece Beekman,639148,9.2,0.9333333333333332,2.4,0.6666666666666666,1.5333333333333334,0.2666666666666666,0.8666666666666667,0.2666666666666666,0.4666666666666667,0.1333333333333333,0.4666666666666667,0.6,1.2,0.4666666666666667,0.1333333333333333,0.5333333333333333,0.3333333333333333,2.4,98.2176326693609,139.93653205399664,0.05233220422603483,0.07959073972263789,7.54,34.37,17.19
34,Brooklyn Nets,98006.0,277,195,0,7085,1226,1903,1222,1872,4,31,383,708,599,1551,2150,450,193,476,295,651,2839,0.644,0.653,0.129,0.541,0.641,0.645,0,0,0,0,0,154000.0,Nic Claxton,639148,25.577617328519857,4.425992779783393,6.870036101083032,4.411552346570397,6.758122743682311,0.0144404332129963,0.111913357400722,1.3826714801444044,2.555956678700361,2.162454873646209,5.59927797833935,7.76173285198556,1.624548736462094,0.6967509025270758,1.7184115523465704,1.0649819494584838,2.3501805054151625,10.249097472924188,95.00016089525364,99.00173531952628,0.05565060467167874,0.29874745776183687,28.21,63.07,31.54
35,Brooklyn Nets,51379.0,56,18,0,1116,150,353,73,139,77,214,69,86,57,153,210,47,23,31,48,108,446,0.425,0.525,0.36,0.802,0.571,0.534,0,0,0,0,0,22885.0,Noah Clowney,639148,19.928571428571427,2.6785714285714284,6.303571428571429,1.3035714285714286,2.482142857142857,1.375,3.821428571428572,1.2321428571428572,1.5357142857142858,1.0178571428571428,2.732142857142857,3.75,0.8392857142857143,0.4107142857142857,0.5535714285714286,0.8571428571428571,1.9285714285714288,7.964285714285714,96.97766169064371,122.58504019889976,0.05270221956772742,0.1679550478756753,15.91,47.08,23.54
36,Brooklyn Nets,48730.0,26,8,0,581,73,137,53,81,20,56,32,49,28,70,98,28,10,9,25,42,198,0.533,0.654,0.357,0.653,0.624,0.606,0,0,0,0,0,8296.0,Tosan Evbuomwan,639148,22.346153846153847,2.8076923076923075,5.269230769230769,2.0384615384615383,3.1153846153846154,0.7692307692307693,2.1538461538461537,1.2307692307692308,1.8846153846153848,1.0769230769230769,2.6923076923076925,3.769230769230769,1.0769230769230769,0.3846153846153846,0.3461538461538461,0.9615384615384616,1.6153846153846154,7.615384615384615,97.25614965737893,126.29688014091096,0.05252577233650749,0.16318425348425147,15.46,46.32,23.16
37,Brooklyn Nets,135504.0,317,158,0,8316,1377,3028,637,1164,740,1864,494,585,238,996,1234,571,257,96,271,534,3988,0.455,0.547,0.397,0.844,0.607,0.577,0,0,0,0,0,244444.0,Cameron Johnson,639148,26.233438485804417,4.34384858044164,9.55205047318612,2.0094637223974763,3.67192429022082,2.334384858044164,5.8801261829653,1.5583596214511042,1.8454258675078865,0.750788643533123,3.141955835962145,3.892744479495268,1.8012618296529967,0.8107255520504731,0.3028391167192429,0.8548895899053628,1.6845425867507886,12.580441640378549,93.9094392956374,87.85663025520108,0.05800294604807404,0.242758658203154,22.87,55.93,27.96
38,Brooklyn Nets,58927.0,123,33,0,2062,300,825,176,441,124,384,117,154,64,198,262,207,84,31,148,219,841,0.364,0.399,0.323,0.76,0.471,0.439,0,0,0,0,0,0.0,Keon Johnson,639148,16.764227642276424,2.4390243902439024,6.7073170731707314,1.4308943089430894,3.5853658536585367,1.008130081300813,3.1219512195121952,0.951219512195122,1.2520325203252032,0.5203252032520326,1.6097560975609757,2.130081300813008,1.6829268292682926,0.6829268292682927,0.2520325203252032,1.2032520325203253,1.7804878048780488,6.837398373983739,96.515939325157,116.654219452728,0.053124263928607994,0.16089494232147952,15.23,45.94,22.97
39,Brooklyn Nets,61353.0,42,0,0,133,7,28,5,18,2,10,2,3,4,2,6,8,3,1,12,6,18,0.25,0.278,0.2,0.667,0.307,0.286,0,0,0,0,0,62434.0,Maxwell Lewis,639148,3.1666666666666665,0.1666666666666666,0.6666666666666666,0.119047619047619,0.4285714285714285,0.0476190476190476,0.238095238095238,0.0476190476190476,0.0714285714285714,0.0952380952380952,0.0476190476190476,0.1428571428571428,0.1904761904761904,0.0714285714285714,0.0238095238095238,0.2857142857142857,0.1428571428571428,0.4285714285714285,98.889731321561,150.2803754652222,0.05334731461371214,0.013574950889505444,1.29,19.65,9.83
40,Brooklyn Nets,42112.0,43,5,0,622,91,226,47,99,44,127,19,28,33,78,111,52,14,5,35,31,245,0.403,0.475,0.346,0.679,0.514,0.5,0,0,0,0,0,19126.0,Tyrese Martin,639148,14.465116279069768,2.116279069767442,5.255813953488372,1.0930232558139534,2.302325581395349,1.0232558139534884,2.953488372093023,0.4418604651162791,0.6511627906976745,0.7674418604651163,1.813953488372093,2.581395348837209,1.2093023255813953,0.3255813953488372,0.1162790697674418,0.813953488372093,0.7209302325581395,5.697674418604652,97.48021384439124,129.35928838871462,0.05214416274018918,0.12550145451009073,11.9,40.54,20.27
41,Brooklyn Nets,170949.0,356,148,0,8147,1152,2810,610,1340,542,1470,385,494,265,1051,1316,988,502,172,488,728,3231,0.41,0.455,0.369,0.779,0.534,0.506,0,0,0,0,0,99744.0,De'Anthony Melton,639148,22.88483146067416,3.235955056179775,7.893258426966292,1.7134831460674158,3.764044943820225,1.5224719101123596,4.129213483146067,1.0814606741573034,1.3876404494382022,0.7443820224719101,2.952247191011236,3.696629213483146,2.7752808988764044,1.4101123595505618,0.4831460674157303,1.3707865168539326,2.044943820224719,9.075842696629213,93.68716168122138,85.7307037430619,0.059938214071194096,0.2641749920223342,24.83,58.66,29.33
42,Brooklyn Nets,728815.0,606,513,1,18167,3813,8884,2283,4725,1530,4159,1418,1782,291,1762,2053,3473,643,190,1600,1149,10574,0.429,0.483,0.368,0.796,0.547,0.515,0,0,0,0,0,3863925.0,D'Angelo Russell,639148,29.97854785478548,6.292079207920792,14.66006600660066,3.767326732673267,7.797029702970297,2.5247524752475248,6.863036303630363,2.33993399339934,2.9405940594059405,0.4801980198019802,2.907590759075908,3.387788778877888,5.731023102310231,1.061056105610561,0.3135313531353135,2.64026402640264,1.896039603960396,17.448844884488448,85.58310443297142,33.20618701828115,0.10546350561766879,0.3726422389409588,33.33,68.91,34.45
43,Brooklyn Nets,48059.0,162,12,0,2229,411,753,396,694,15,59,161,256,400,482,882,171,63,100,166,321,998,0.546,0.571,0.254,0.629,0.576,0.556,0,0,0,0,0,80133.0,Day'Ron Sharpe,639148,13.75925925925926,2.537037037037037,4.648148148148148,2.4444444444444446,4.283950617283951,0.0925925925925925,0.3641975308641975,0.9938271604938272,1.5802469135802468,2.469135802469136,2.9753086419753085,5.444444444444445,1.0555555555555556,0.3888888888888889,0.6172839506172839,1.0246913580246917,1.9814814814814812,6.160493827160494,96.89250461667392,121.47050352545068,0.052575671537348496,0.17812483776746107,16.88,48.64,24.32
44,Brooklyn Nets,206770.0,209,74,0,4813,1096,2486,800,1639,296,847,637,742,62,476,538,412,112,32,293,295,3125,0.441,0.488,0.349,0.858,0.556,0.5,0,0,0,0,0,250975.0,Cam Thomas,639148,23.028708133971293,5.244019138755981,11.894736842105264,3.827751196172249,7.842105263157895,1.416267942583732,4.052631578947368,3.047846889952153,3.550239234449761,0.2966507177033493,2.277511961722488,2.574162679425837,1.971291866028708,0.5358851674641149,0.1531100478468899,1.4019138755980862,1.411483253588517,14.952153110047847,93.72601831406202,86.09893960479168,0.06226654599999555,0.23321753147022023,21.87,54.75,27.38
45,Brooklyn Nets,32633.0,186,24,0,3116,522,980,453,784,69,196,250,326,155,512,667,307,85,63,194,370,1363,0.533,0.578,0.352,0.767,0.607,0.568,0,0,0,0,0,73697.0,Trendon Watford,639148,16.752688172043012,2.806451612903226,5.268817204301075,2.435483870967742,4.21505376344086,0.3709677419354839,1.053763440860215,1.3440860215053765,1.7526881720430108,0.8333333333333334,2.752688172043011,3.586021505376344,1.6505376344086022,0.4569892473118279,0.3387096774193548,1.043010752688172,1.989247311827957,7.327956989247312,96.42616964351672,115.53258599697487,0.05164649719525931,0.17360860165002656,16.46,47.97,23.99
46,Brooklyn Nets,64578.0,9,0,0,65,9,23,1,4,8,19,1,2,0,7,7,4,3,2,3,2,27,0.391,0.25,0.421,0.5,0.565,0.565,0,0,0,0,0,84967.0,Dariq Whitehead,639148,7.222222222222222,1.0,2.555555555555556,0.1111111111111111,0.4444444444444444,0.8888888888888888,2.111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,3.0,98.30944177526472,141.308846487158,0.05356810459003835,0.06726814075539024,6.37,32.33,16.16
