Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,oline_carrer_value,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
511,Cleveland Browns,15271.0,14,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,10,4,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Nathaniel Watson,99.43088862475756,159.1292738761466,0,66.19,60.25850546424532,33.1
512,Cleveland Browns,2864.0,16,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.5,15,8,1,1,0,0,2,0,1,0,0,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Winston Reid,99.57992262003462,161.65153107616777,0,61.33,59.969377528711966,30.66
513,Cleveland Browns,1149.0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Chigozie Anusiem,99.6178634515428,162.29966867968872,0,100.0,60.87001245863825,50.0
514,Cleveland Browns,59215.0,61,52,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,3.5,246,116,21,10,6,0,17,1,2,0,1,0,0.0,0,55,0,S,0,0,0,0,0,0,0,Grant Delpit,98.80435388305072,148.92751780689008,0,40.45,54.61158321972057,20.23
515,Cleveland Browns,800.0,2,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DB,0,0,0,0,0,0,0,Chris Edmonds,99.62208293134375,162.3719014928072,0,89.11,60.759234903355704,44.56
516,Cleveland Browns,23264.0,50,33,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,158,44,5,1,4,0,34,0,1,0,1,0,0.0,0,26,0,CB,0,0,0,0,0,0,0,Martin Emerson,99.2903386345567,156.7847958583195,0,52.08,58.8105125571943,26.04
517,Cleveland Browns,9659.0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Myles Harden,99.50730417551452,160.4178376626746,0,85.69,60.72585129476009,42.84
518,Cleveland Browns,16953.0,24,9,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,0.0,43,27,1,1,1,1,4,0,1,0,0,0,0.0,0,30,0,S,0,0,0,0,0,0,0,Ronnie Hickman,99.39958680839332,158.60428055154773,0,55.62,59.43521046671109,27.81
519,Cleveland Browns,5944.0,16,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Anthony Kendall,99.55207860178074,161.17743794393732,0,77.79,60.608428544428115,38.9
520,Cleveland Browns,8373.0,30,4,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,32,10,2,1,0,0,4,0,0,0,0,0,0.0,0,0,0,CB,0,0,0,0,0,0,0,Cameron Mitchell,99.51276359353264,160.51027498660608,0,66.01,60.249252924722875,33.01
521,Cleveland Browns,72271.0,54,42,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,1.0,122,33,4,2,3,1,34,0,0,0,0,0,0.0,0,32,0,CB,0,0,0,0,0,0,0,Greg Newsome II,98.6590514217244,146.6515018340676,0,48.99,57.998397992345,24.5
522,Cleveland Browns,134275.0,95,92,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,24,0.0,0.5,264,58,11,6,17,2,95,0,6,2,4,0,0.0,0,243,0,LCB,0,0,0,0,0,0,0,Denzel Ward,97.93510121855454,135.79158592963498,0,42.45,55.890405670209034,21.22
523,Cleveland Browns,30410.0,107,0,0,1,0.0,0,0,0,39.6,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,3,0,0,0,0,0,0,2,2,0,0,21530,47.3,2,-25,0,P,0,0,0,0,0,0,0,Corey Bojorquez,99.33778343238592,157.57252883189255,0,50.26,58.356361550895585,25.13
524,Cleveland Browns,51894.0,140,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,241,84.0,0,0,985,1039.0,0.0,8,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,K,0,0,0,0,0,0,0,Dustin Hopkins,98.98668063579292,151.83066666533966,0,40.57,54.68177752321117,20.28
525,Cleveland Browns,14386.0,12,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,LS,0,0,0,0,0,0,0,Rex Sunahara,99.44393442392982,159.34856334742125,0,59.53,59.820993279543806,29.76
